,original_brand,brand_ch,brand_en,cleaned_brand
3908,光泉頂級鮮奶優酪,光泉頂級鮮奶優酪,,光泉頂級鮮奶優酪
3905,無天家,無天家,,無天家
3903,台農燕巢,台農燕巢,,台農燕巢
3897,2080,,,2080
3894,名悅,名悅,,名悅
3886,和味,和味,,和味
3885,花園,花園,,花園
3882,伊頌天然,伊頌天然,,伊頌天然
3881,虎牙,虎牙,,虎牙
3878,潤姬桃子,潤姬桃子,,潤姬桃子
3874,美琦,美琦,,美琦
3872,禾香牧場,禾香牧場,,禾香牧場
3868,小禮堂,小禮堂,,小禮堂
3864,領航家,領航家,,領航家
3907,紐麥福,紐麥福,,紐麥福
3217,宏福牌,宏福牌,,宏福牌
3768,奇格利爾,奇格利爾,,奇格利爾
3760,卵肌本舖,卵肌本舖,,卵肌本舖
3660,伊賀越,伊賀越,,伊賀越
3659,垣戊,垣戊,,垣戊
3658,蜂鳥,蜂鳥,,蜂鳥
3656,鑫耀生技,鑫耀生技,,鑫耀生技
3654,麗仁堂,麗仁堂,,麗仁堂
3650,朵蔓朵蓮,朵蔓朵蓮,,朵蔓朵蓮
3646,本家生機,本家生機,,本家生機
3644,長庚,長庚,,長庚
3643,優廚寶,優廚寶,,優廚寶
3642,宏裕行,宏裕行,,宏裕行
3639,華麗牌,華麗牌,,華麗牌
3638,恩特萬,恩特萬,,恩特萬
3636,彩虹雨點,彩虹雨點,,彩虹雨點
3631,合家歡,合家歡,,合家歡
3628,醬本缸,醬本缸,,醬本缸
3625,狗子廚房,狗子廚房,,狗子廚房
3618,晨昌,晨昌,,晨昌
3614,愛益康,愛益康,,愛益康
3613,森產業,森產業,,森產業
3610,蜜蜂工坊,蜜蜂工坊,,蜜蜂工坊
3606,典豆成金,典豆成金,,典豆成金
3605,上品王,上品王,,上品王
3604,愛伊健康,愛伊健康,,愛伊健康
3599,安娜蘇,安娜蘇,,安娜蘇
3597,實用牌,實用牌,,實用牌
3593,綺緣,綺緣,,綺緣
3590,陽明生醫,陽明生醫,,陽明生醫
3677,印象之美,印象之美,,印象之美
3678,御田,御田,,御田
3679,天然保健所,天然保健所,,天然保健所
3680,蹺蹺板小姐,蹺蹺板小姐,,蹺蹺板小姐
3759,尼克亞力,尼克亞力,,尼克亞力
3758,生態綠,生態綠,,生態綠
3751,崇德發,崇德發,,崇德發
3747,小風鈴,小風鈴,,小風鈴
3746,大興吉,大興吉,,大興吉
3740,楓葉,楓葉,,楓葉
3733,汗馬,汗馬,,汗馬
3732,滴滴鮮,滴滴鮮,,滴滴鮮
3730,凡爾賽玫瑰,凡爾賽玫瑰,,凡爾賽玫瑰
3729,茶月,茶月,,茶月
3727,易家,易家,,易家
3725,和田館,和田館,,和田館
3721,水涓肌,水涓肌,,水涓肌
3766,湛盧咖啡,湛盧咖啡,,湛盧咖啡
3720,阿德比,阿德比,,阿德比
3709,機植之丘,機植之丘,,機植之丘
3707,威寶,威寶,,威寶
3706,緣蘋果,緣蘋果,,緣蘋果
3704,愛華,愛華,,愛華
3703,仙女牌,仙女牌,,仙女牌
3702,卡維亞,卡維亞,,卡維亞
3699,元氣堂,元氣堂,,元氣堂
3698,元園廖媽媽,元園廖媽媽,,元園廖媽媽
3696,合興,合興,,合興
3691,雙燕牌,雙燕牌,,雙燕牌
3687,聯統,聯統,,聯統
3685,美私樂,美私樂,,美私樂
3684,比利時凱瑞克,比利時凱瑞克,,比利時凱瑞克
3719,鱷魚,鱷魚,,鱷魚
1004,日本花王,日本花王,,日本花王
3212,六甲田莊,六甲田莊,,六甲田莊
3210,台海生技,台海生技,,台海生技
2712,台塑,台塑,,台塑
2711,吉尼寶貝,吉尼寶貝,,吉尼寶貝
2707,克寧,克寧,,克寧
2706,愛喵零食,愛喵零食,,愛喵零食
2703,東凌,東凌,,東凌
2700,酷之泉,酷之泉,,酷之泉
2695,比菲多乳之初,比菲多乳之初,,比菲多乳之初
2694,利百代,利百代,,利百代
2691,瑰柏翠,瑰柏翠,,瑰柏翠
2685,輝葉,輝葉,,輝葉
2679,瓦城,瓦城,,瓦城
2673,太星電工,太星電工,,太星電工
2670,丸秀,丸秀,,丸秀
2669,潔牙一番,潔牙一番,,潔牙一番
2666,鬼女神,鬼女神,,鬼女神
2663,髮朵,髮朵,,髮朵
2660,小潔革命,小潔革命,,小潔革命
2658,毛孩王,毛孩王,,毛孩王
2649,歐仕派,歐仕派,,歐仕派
2647,日濢,日濢,,日濢
2646,臥龍咖啡工作室,臥龍咖啡工作室,,臥龍咖啡工作室
2645,欣目益福,欣目益福,,欣目益福
2643,其實豆製所,其實豆製所,,其實豆製所
2642,閃彩,閃彩,,閃彩
2640,伊藤園,伊藤園,,伊藤園
2638,賀眾牌,賀眾牌,,賀眾牌
2633,椒井,椒井,,椒井
2723,朝日田野,朝日田野,,朝日田野
2629,卡碧絲,卡碧絲,,卡碧絲
2725,良爽,良爽,,良爽
2729,菲力家族,菲力家族,,菲力家族
2820,蒸健康,蒸健康,,蒸健康
2815,鮮一番,鮮一番,,鮮一番
2809,斯斯,斯斯,,斯斯
2808,甘味人生,甘味人生,,甘味人生
2803,福松,福松,,福松
2800,植淨美,植淨美,,植淨美
2799,大西洋,大西洋,,大西洋
2798,菲那絲,菲那絲,,菲那絲
2797,新東陽,新東陽,,新東陽
2796,449乾麵舖,449乾麵舖,,449乾麵舖
2793,古酵寶,古酵寶,,古酵寶
2791,得意人生,得意人生,,得意人生
2788,詩沛格蘭,詩沛格蘭,,詩沛格蘭
2787,統洋,統洋,,統洋
2786,品皇,品皇,,品皇
2785,格林全,格林全,,格林全
2784,富士,富士,,富士
2781,古德狗,古德狗,,古德狗
2779,雙星牌,雙星牌,,雙星牌
2777,康朵,康朵,,康朵
2772,愛引力,愛引力,,愛引力
2769,每朝,每朝,,每朝
2767,羅密歐,羅密歐,,羅密歐
2762,亮潔,亮潔,,亮潔
2759,生育家,生育家,,生育家
2756,桃屋,桃屋,,桃屋
2738,皇鼎,皇鼎,,皇鼎
2727,清淨園,清淨園,,清淨園
2628,特惠牌,特惠牌,,特惠牌
2626,歷峰集團,歷峰集團,,歷峰集團
2625,柏森牌,柏森牌,,柏森牌
2549,美味小舖,美味小舖,,美味小舖
2545,天目雷,天目雷,,天目雷
2543,林內牌,林內牌,,林內牌
2542,三菱電機,三菱電機,,三菱電機
2539,曼仕德,曼仕德,,曼仕德
2537,普潔,普潔,,普潔
2536,大芳,大芳,,大芳
2535,大王,大王,,大王
2531,真愛,真愛,,真愛
2526,好一頓,好一頓,,好一頓
2524,頤珍,頤珍,,頤珍
2523,富華,富華,,富華
2521,奇異,奇異,,奇異
2518,台中市農會,台中市農會,,台中市農會
2512,王朝,王朝,,王朝
2510,金車,金車,,金車
2509,明宜,明宜,,明宜
2504,健康曙光,健康曙光,,健康曙光
2502,奇哥,奇哥,,奇哥
2500,羅東農會,羅東農會,,羅東農會
2499,北大武,北大武,,北大武
2498,勤億,勤億,,勤億
2491,喵皇奴,喵皇奴,,喵皇奴
2489,古吉,古吉,,古吉
2483,超海派,超海派,,超海派
2476,咖啡工廠,咖啡工廠,,咖啡工廠
2472,50惠,50惠,,50惠
2552,21世紀,21世紀,,21世紀
2553,日喬恩,日喬恩,,日喬恩
2559,大本山,大本山,,大本山
2560,火忍者,火忍者,,火忍者
2617,咖樂迪咖啡農場,咖樂迪咖啡農場,,咖樂迪咖啡農場
2615,濱川佐櫻,濱川佐櫻,,濱川佐櫻
2614,麗美盛,麗美盛,,麗美盛
2610,汪事如意,汪事如意,,汪事如意
2609,惠健,惠健,,惠健
2608,國太樓,國太樓,,國太樓
2607,女皇咖啡,女皇咖啡,,女皇咖啡
2606,特樂舒,特樂舒,,特樂舒
2603,海瑞,海瑞,,海瑞
2602,眷戀,眷戀,,眷戀
2599,赫里萊比,赫里萊比,,赫里萊比
2598,黃正宜,黃正宜,,黃正宜
2596,立可樂,立可樂,,立可樂
2822,饅自然,饅自然,,饅自然
2595,璞莉可,璞莉可,,璞莉可
2592,永豐餘,永豐餘,,永豐餘
2591,活力廚坊,活力廚坊,,活力廚坊
2583,味滋康,味滋康,,味滋康
2581,寶益兒,寶益兒,,寶益兒
2579,姍莎菈,姍莎菈,,姍莎菈
2578,綾鷹,綾鷹,,綾鷹
2577,必勝,必勝,,必勝
2575,京都小川,京都小川,,京都小川
2571,佳龍,佳龍,,佳龍
2567,島乃香,島乃香,,島乃香
2566,卡娜赫拉的小動物,卡娜赫拉的小動物,,卡娜赫拉的小動物
2564,生力啤,生力啤,,生力啤
2562,高橋,高橋,,高橋
2593,旺旺集團,旺旺集團,,旺旺集團
2826,興波咖啡,興波咖啡,,興波咖啡
2828,和成,和成,,和成
2829,草本24,草本24,,草本24
3127,地中海,地中海,,地中海
3126,大昌,大昌,,大昌
3116,百年薔薇,百年薔薇,,百年薔薇
3115,川雲,川雲,,川雲
3113,男人香,男人香,,男人香
3106,比依,比依,,比依
3104,元歲,元歲,,元歲
3103,寶貝餌子,寶貝餌子,,寶貝餌子
3100,臻豆坊,臻豆坊,,臻豆坊
3098,鵑城牌,鵑城牌,,鵑城牌
3096,康貝,康貝,,康貝
3087,李記,李記,,李記
3086,左岸,左岸,,左岸
3084,阿里山,阿里山,,阿里山
3078,八甲田,八甲田,,八甲田
3072,木酢達人,木酢達人,,木酢達人
3071,吉妮斯,吉妮斯,,吉妮斯
3070,德記,德記,,德記
3069,立菱尹,立菱尹,,立菱尹
3067,活力,活力,,活力
3063,上海灘阿杜,上海灘阿杜,,上海灘阿杜
3062,健康物語,健康物語,,健康物語
3055,芙玉寶,芙玉寶,,芙玉寶
3054,中祥麵,中祥麵,,中祥麵
3051,北海道日高乳業,北海道日高乳業,,北海道日高乳業
3050,熊愛咖啡,熊愛咖啡,,熊愛咖啡
3046,犬力食足,犬力食足,,犬力食足
3128,豪山,豪山,,豪山
3132,東邦,東邦,,東邦
3133,誠泰,誠泰,,誠泰
3135,益瑞昇,益瑞昇,,益瑞昇
3209,包寧安,包寧安,,包寧安
3203,康迪斯,康迪斯,,康迪斯
3201,遠東生技,遠東生技,,遠東生技
3200,富山,富山,,富山
3196,台灣三洋,台灣三洋,,台灣三洋
3193,台麗,台麗,,台麗
3181,麗奇,麗奇,,麗奇
3180,火霹靂,火霹靂,,火霹靂
3179,明星,明星,,明星
3175,水森活,水森活,,水森活
3173,愛司盟,愛司盟,,愛司盟
3171,戴春林,戴春林,,戴春林
3170,亞尼活力,亞尼活力,,亞尼活力
3036,尚美德,尚美德,,尚美德
3168,西華,西華,,西華
3163,熊寶寶,熊寶寶,,熊寶寶
3162,大師兄銷魂麵舖,大師兄銷魂麵舖,,大師兄銷魂麵舖
3159,悅拭美,悅拭美,,悅拭美
3158,愛美力,愛美力,,愛美力
3157,麗莎,麗莎,,麗莎
3153,鋒味,鋒味,,鋒味
3149,三鷹,三鷹,,三鷹
3147,元進莊,元進莊,,元進莊
3146,蒂克,蒂克,,蒂克
3145,鮮剖,鮮剖,,鮮剖
3142,永新牌,永新牌,,永新牌
3141,威靈頓,威靈頓,,威靈頓
3136,森萊富,森萊富,,森萊富
3165,源美,源美,,源美
3211,雅如詩,雅如詩,,雅如詩
3035,維多利亞的秘密,維多利亞的秘密,,維多利亞的秘密
3029,臻愛,臻愛,,臻愛
2909,統欣生物科技,統欣生物科技,,統欣生物科技
2906,艾肯,艾肯,,艾肯
2902,美神契約,美神契約,,美神契約
2898,優力巾,優力巾,,優力巾
2897,巧多,巧多,,巧多
2894,旺滴,旺滴,,旺滴
2887,加拿大國寶,加拿大國寶,,加拿大國寶
2881,巴馬,巴馬,,巴馬
2876,一引,一引,,一引
2875,薰衣草森林,薰衣草森林,,薰衣草森林
2874,善得,善得,,善得
2867,片岡,片岡,,片岡
2866,薇達,薇達,,薇達
2865,富兔康,富兔康,,富兔康
2860,荷麗美加,荷麗美加,,荷麗美加
2857,松井,松井,,松井
2852,安慕希,安慕希,,安慕希
2845,愛瑞雅,愛瑞雅,,愛瑞雅
2844,金寶,金寶,,金寶
2842,飛牛牧場,飛牛牧場,,飛牛牧場
2840,紅牛,紅牛,,紅牛
2839,樂伊妥,樂伊妥,,樂伊妥
2838,健康快遞,健康快遞,,健康快遞
2836,力度伸,力度伸,,力度伸
2835,然植萃,然植萃,,然植萃
2834,優豆君,優豆君,,優豆君
2833,柳營牧場,柳營牧場,,柳營牧場
2913,荷柏園,荷柏園,,荷柏園
2922,米徠,米徠,,米徠
2924,寺岡家,寺岡家,,寺岡家
2925,日青,日青,,日青
3027,芭弗莎林,芭弗莎林,,芭弗莎林
3020,愛迪生,愛迪生,,愛迪生
3018,氧視加,氧視加,,氧視加
3011,米物,米物,,米物
3006,茉娜姿,茉娜姿,,茉娜姿
3004,鼎新,鼎新,,鼎新
3001,好日子,好日子,,好日子
2999,金展輝,金展輝,,金展輝
2997,中華豪井,中華豪井,,中華豪井
2996,探險者,探險者,,探險者
2990,理研,理研,,理研
2989,義大利金杯咖啡,義大利金杯咖啡,,義大利金杯咖啡
2982,健喬信元,健喬信元,,健喬信元
3033,狐狸村,狐狸村,,狐狸村
2975,傳貴,傳貴,,傳貴
2958,梨奧美,梨奧美,,梨奧美
2956,蔻蘿蘭,蔻蘿蘭,,蔻蘿蘭
2954,小牧好好,小牧好好,,小牧好好
2950,丸進,丸進,,丸進
2949,清銀露,清銀露,,清銀露
2947,元氣,元氣,,元氣
2946,福記,福記,,福記
2944,潘海利根,潘海利根,,潘海利根
2943,芙樂思,芙樂思,,芙樂思
2940,小七泡泡,小七泡泡,,小七泡泡
2935,華冠,華冠,,華冠
2930,呈禾康,呈禾康,,呈禾康
2926,活力廚房,活力廚房,,活力廚房
2971,麗美,麗美,,麗美
1003,光泉豆漿,光泉豆漿,,光泉豆漿
1986,顧可飛,顧可飛,,顧可飛
428,唯潔雅,唯潔雅,,唯潔雅
15,味全簡單點,味全簡單點,,味全簡單點
460,培恩,培恩,,培恩
590,喜樂之泉,喜樂之泉,,喜樂之泉
303,美粒果,美粒果,,美粒果
302,味丹,味丹,,味丹
502,爵戀,爵戀,,爵戀
503,大補帖,大補帖,,大補帖
504,大家源,大家源,,大家源
619,優活,優活,,優活
752,膜力美肌,膜力美肌,,膜力美肌
297,來一客,來一客,,來一客
896,完美安可,完美安可,,完美安可
296,統一水果牛乳,統一水果牛乳,,統一水果牛乳
395,艾瑪花園,艾瑪花園,,艾瑪花園
628,沛綠雅,沛綠雅,,沛綠雅
708,華佗,華佗,,華佗
396,大衛杜夫,大衛杜夫,,大衛杜夫
506,麵大師,麵大師,,麵大師
292,檜山坊,檜山坊,,檜山坊
397,旺得福,旺得福,,旺得福
289,高慶泉,高慶泉,,高慶泉
461,雪山,雪山,,雪山
74,雪坊,雪坊,,雪坊
500,歌林,歌林,,歌林
750,信東生技,信東生技,,信東生技
318,貝親,貝親,,貝親
387,大拇指,大拇指,,大拇指
388,西湖市場,西湖市場,,西湖市場
496,蘇菲,蘇菲,,蘇菲
317,蘋果西打,蘋果西打,,蘋果西打
882,可果美,可果美,,可果美
148,愛之味,愛之味,,愛之味
649,靠得住,靠得住,,靠得住
627,味王,味王,,味王
131,聖佩黎洛,聖佩黎洛,,聖佩黎洛
901,喜又美,喜又美,,喜又美
315,得意,得意,,得意
390,初鹿牧場,初鹿牧場,,初鹿牧場
70,原萃,原萃,,原萃
555,嚕啦啦,嚕啦啦,,嚕啦啦
309,正負零±0,正負零±0,,正負零±0
462,濱田,濱田,,濱田
394,蒸鮮之味,蒸鮮之味,,蒸鮮之味
710,飛利浦,飛利浦,,飛利浦
108,七星,七星,,七星
305,好自在,好自在,,好自在
304,勁威,勁威,,勁威
313,賀壽,賀壽,,賀壽
386,妙管家,妙管家,,妙管家
13,光泉鮮乳,光泉鮮乳,,光泉鮮乳
105,草繹,草繹,,草繹
46,萬家香,萬家香,,萬家香
914,全健護,全健護,,全健護
275,紅印,紅印,,紅印
403,美島水肌,美島水肌,,美島水肌
47,高露潔,高露潔,,高露潔
617,白人,白人,,白人
596,加倍潔,加倍潔,,加倍潔
271,米家,米家,,米家
755,老協珍,老協珍,,老協珍
128,愛爾曼,愛爾曼,,愛爾曼
12,理膚寶水,理膚寶水,,理膚寶水
269,奈森克林,奈森克林,,奈森克林
48,熊寶貝,熊寶貝,,熊寶貝
267,龍鳳,龍鳳,,龍鳳
923,滿意寶寶,滿意寶寶,,滿意寶寶
699,新樂園,新樂園,,新樂園
264,澎澎,澎澎,,澎澎
552,國際牌,國際牌,,國際牌
102,康乃馨,康乃馨,,康乃馨
261,頂好,頂好,,頂好
807,自然之綠,自然之綠,,自然之綠
703,禾護,禾護,,禾護
279,英泉,英泉,,英泉
595,立頓,立頓,,立頓
281,象印,象印,,象印
810,日本獅王,日本獅王,,日本獅王
903,孝親,孝親,,孝親
130,寶亨,寶亨,,寶亨
904,京城之霜,京城之霜,,京城之霜
707,大潤發,大潤發,,大潤發
906,七喜,七喜,,七喜
809,亞莉佳,亞莉佳,,亞莉佳
93,桂冠,桂冠,,桂冠
907,東芝,東芝,,東芝
287,醫之方,醫之方,,醫之方
155,馬爾斯,馬爾斯,,馬爾斯
594,依洛嘉,依洛嘉,,依洛嘉
61,光泉乳香世家,光泉乳香世家,,光泉乳香世家
510,白帥帥,白帥帥,,白帥帥
909,淺利佐助商店,淺利佐助商店,,淺利佐助商店
94,阿薩姆,阿薩姆,,阿薩姆
285,瑞春,瑞春,,瑞春
283,日清,日清,,日清
511,施巴,施巴,,施巴
282,康貝特,康貝特,,康貝特
400,直覺,直覺,,直覺
911,一家人,一家人,,一家人
129,1028,,,1028
127,台灣啤酒,台灣啤酒,,台灣啤酒
147,味全林鳳營,味全林鳳營,,味全林鳳營
621,冷泡茶,冷泡茶,,冷泡茶
354,純喫茶,純喫茶,,純喫茶
25,台酒,台酒,,台酒
731,皇貓,皇貓,,皇貓
853,古道,古道,,古道
730,御天犬,御天犬,,御天犬
467,澳潔蕬,澳潔蕬,,澳潔蕬
374,尊爵,尊爵,,尊爵
855,味全萬丹,味全萬丹,,味全萬丹
856,松本清,松本清,,松本清
857,巴洛亞,巴洛亞,,巴洛亞
858,鮮一杯,鮮一杯,,鮮一杯
728,安田,安田,,安田
859,嘉士伯,嘉士伯,,嘉士伯
727,上山採藥,上山採藥,,上山採藥
641,四葉,四葉,,四葉
642,隨緣,隨緣,,隨緣
111,白鴿,白鴿,,白鴿
466,多芬,多芬,,多芬
585,索樂生活,索樂生活,,索樂生活
140,百威,百威,,百威
742,享食尚,享食尚,,享食尚
734,統欣生技,統欣生技,,統欣生技
356,寶路,寶路,,寶路
739,初鹿鮮乳,初鹿鮮乳,,初鹿鮮乳
475,維力炸醬麵,維力炸醬麵,,維力炸醬麵
366,三多,三多,,三多
470,屈臣氏,屈臣氏,,屈臣氏
69,雀巢,雀巢,,雀巢
471,曾拌麵,曾拌麵,,曾拌麵
472,御茶園,御茶園,,御茶園
840,華陀,華陀,,華陀
835,博士巧思,博士巧思,,博士巧思
638,無印良品,無印良品,,無印良品
843,牛乳石鹼,牛乳石鹼,,牛乳石鹼
844,拉麵道,拉麵道,,拉麵道
465,雲南白藥,雲南白藥,,雲南白藥
845,新格,新格,,新格
580,花王,花王,,花王
846,野獸叢林,野獸叢林,,野獸叢林
370,我的健康日記,我的健康日記,,我的健康日記
79,嬌生,嬌生,,嬌生
848,金車柏克金,金車柏克金,,金車柏克金
735,開喜,開喜,,開喜
849,西螺農會,西螺農會,,西螺農會
833,晨捷,晨捷,,晨捷
360,泰山,泰山,,泰山
27,味全,味全,,味全
361,大甲乾麵,大甲乾麵,,大甲乾麵
319,美琪,美琪,,美琪
344,柔軟熊,柔軟熊,,柔軟熊
342,莊頭北,莊頭北,,莊頭北
490,倫敦登喜路,倫敦登喜路,,倫敦登喜路
328,寶馬,寶馬,,寶馬
873,齒妍堂,齒妍堂,,齒妍堂
491,台鹽生技,台鹽生技,,台鹽生技
875,遊遍天下,遊遍天下,,遊遍天下
721,極淨,極淨,,極淨
822,濃韻,濃韻,,濃韻
91,星之冠,星之冠,,星之冠
109,伯朗,伯朗,,伯朗
748,東泉,東泉,,東泉
718,木槿花,木槿花,,木槿花
494,芙夏妮,芙夏妮,,芙夏妮
325,味王麵,味王麵,,味王麵
383,哄寶貝,哄寶貝,,哄寶貝
1002,木村,木村,,木村
324,金絲頓,金絲頓,,金絲頓
820,金色三麥,金色三麥,,金色三麥
323,益喜氏,益喜氏,,益喜氏
146,來復易,來復易,,來復易
385,博士美,博士美,,博士美
321,舒酸定,舒酸定,,舒酸定
329,馬玉山,馬玉山,,馬玉山
31,刷樂,刷樂,,刷樂
825,摩爾思,摩爾思,,摩爾思
381,莉薇特麗,莉薇特麗,,莉薇特麗
341,黑松,黑松,,黑松
142,佳士達,佳士達,,佳士達
23,黑人牙膏,黑人牙膏,,黑人牙膏
340,恩能康見,恩能康見,,恩能康見
464,史邁爾,史邁爾,,史邁爾
143,沙威隆,沙威隆,,沙威隆
865,台農,台農,,台農
744,美則,美則,,美則
338,舒跑,舒跑,,舒跑
337,老媽拌麵,老媽拌麵,,老媽拌麵
483,脫普,脫普,,脫普
377,達新牌,達新牌,,達新牌
645,生活,生活,,生活
336,汪喵星球,汪喵星球,,汪喵星球
335,立得清,立得清,,立得清
484,麥迪森,麥迪森,,麥迪森
333,天地合補,天地合補,,天地合補
646,橘子工坊,橘子工坊,,橘子工坊
332,獅王,獅王,,獅王
486,冰火,冰火,,冰火
88,葡萄王,葡萄王,,葡萄王
380,優仕曼,優仕曼,,優仕曼
21,雪芙蘭,雪芙蘭,,雪芙蘭
927,海之鮇,海之鮇,,海之鮇
277,植享家,植享家,,植享家
756,比菲多,比菲多,,比菲多
543,拜維佳,拜維佳,,拜維佳
418,家福,家福,,家福
214,純煉,純煉,,純煉
171,森田藥粧,森田藥粧,,森田藥粧
211,滿漢大餐,滿漢大餐,,滿漢大餐
971,快潔適,快潔適,,快潔適
972,吶一口,吶一口,,吶一口
573,麥香,麥香,,麥香
671,相模,相模,,相模
600,古寶,古寶,,古寶
608,長壽,長壽,,長壽
974,蕾妮亞,蕾妮亞,,蕾妮亞
205,湛盧,湛盧,,湛盧
607,萊萃美,萊萃美,,萊萃美
669,健康廚房,健康廚房,,健康廚房
203,愛力根,愛力根,,愛力根
202,賈以食日,賈以食日,,賈以食日
668,阿舍食堂,阿舍食堂,,阿舍食堂
979,橘平屋,橘平屋,,橘平屋
764,波爾,波爾,,波爾
174,林鳳營特濃優格,林鳳營特濃優格,,林鳳營特濃優格
634,芊柔,芊柔,,芊柔
118,東成,東成,,東成
417,統一瑞穗,統一瑞穗,,統一瑞穗
170,味味一品,味味一品,,味味一品
954,工研,工研,,工研
168,花香5,花香5,,花香5
682,雷雪,雷雪,,雷雪
55,澡享,澡享,,澡享
609,卜蜂,卜蜂,,卜蜂
227,春風,春風,,春風
169,越南厚生,越南厚生,,越南厚生
414,金蘭,金蘭,,金蘭
36,福樂一番鮮,福樂一番鮮,,福樂一番鮮
786,維他麥,維他麥,,維他麥
4,舒潔,舒潔,,舒潔
679,安安,安安,,安安
577,維力原祖,維力原祖,,維力原祖
529,李錦記,李錦記,,李錦記
632,落建,落建,,落建
416,比菲多質立,比菲多質立,,比菲多質立
677,莫凡彼,莫凡彼,,莫凡彼
676,飲冰室茶集,飲冰室茶集,,飲冰室茶集
675,熊野,熊野,,熊野
673,數位,數位,,數位
534,日本石鹸,日本石鹸,,日本石鹸
654,石頭科技,石頭科技,,石頭科技
123,多喝水,多喝水,,多喝水
200,海尼根,海尼根,,海尼根
177,人生製藥,人生製藥,,人生製藥
419,赫而司,赫而司,,赫而司
767,美吾髮,美吾髮,,美吾髮
1,姍拉娜,姍拉娜,,姍拉娜
574,高地卡尼,高地卡尼,,高地卡尼
633,萬寶路,萬寶路,,萬寶路
772,三記,三記,,三記
424,資生堂,資生堂,,資生堂
992,素飄香,素飄香,,素飄香
181,克奈圃,克奈圃,,克奈圃
540,小獅王,小獅王,,小獅王
662,威德,威德,,威德
192,小米,小米,,小米
995,艾克博士,艾克博士,,艾克博士
656,淬釀,淬釀,,淬釀
430,麗仕,麗仕,,麗仕
182,台農鮮乳廠,台農鮮乳廠,,台農鮮乳廠
542,鍋寶,鍋寶,,鍋寶
186,大金,大金,,大金
999,悅氏茶品,悅氏茶品,,悅氏茶品
660,愛可妮,愛可妮,,愛可妮
86,五五五,,,五五五
771,沙宣,沙宣,,沙宣
1000,達摩本草,達摩本草,,達摩本草
425,大正,大正,,大正
442,永信藥品,永信藥品,,永信藥品
423,尚朋堂,尚朋堂,,尚朋堂
180,倍潔雅,倍潔雅,,倍潔雅
87,活力滋,活力滋,,活力滋
982,科沃斯,科沃斯,,科沃斯
983,喜多,喜多,,喜多
667,享溫馨,享溫馨,,享溫馨
121,依必朗,依必朗,,依必朗
984,雙響泡,雙響泡,,雙響泡
778,諾寶,諾寶,,諾寶
38,悅氏,悅氏,,悅氏
2,台鹽,台鹽,,台鹽
606,三得利,三得利,,三得利
194,優生,優生,,優生
198,萬達寬,萬達寬,,萬達寬
197,等等,等等,,等等
987,滴露,滴露,,滴露
774,費拉拉,費拉拉,,費拉拉
766,360,,,360
76,台啤,台啤,,台啤
422,丸金,丸金,,丸金
179,西雅圖,西雅圖,,西雅圖
989,蓓爾麗,蓓爾麗,,蓓爾麗
990,富及第,富及第,,富及第
538,諾得,諾得,,諾得
421,新生,新生,,新生
230,黑人,黑人,,黑人
961,皇雀咖啡,皇雀咖啡,,皇雀咖啡
578,沈杯杯,沈杯杯,,沈杯杯
124,南僑,南僑,,南僑
610,香山,香山,,香山
611,好立善,好立善,,好立善
409,愛爾康,愛爾康,,愛爾康
688,大乾麵,大乾麵,,大乾麵
799,午后時光,午后時光,,午后時光
947,牛爾,牛爾,,牛爾
246,義美,義美,,義美
792,蓓比適,蓓比適,,蓓比適
412,家樂福,家樂福,,家樂福
161,莎啦莎啦,莎啦莎啦,,莎啦莎啦
520,四季,四季,,四季
34,保力達,保力達,,保力達
454,貝恩,貝恩,,貝恩
163,雲斯頓,雲斯頓,,雲斯頓
35,牛頭牌,牛頭牌,,牛頭牌
940,紅米,紅米,,紅米
10,真爽,真爽,,真爽
691,風騰,風騰,,風騰
694,采媚,采媚,,采媚
238,農心,農心,,農心
690,丸莊,丸莊,,丸莊
653,福樂自然零,福樂自然零,,福樂自然零
83,和平,和平,,和平
453,千拌麵,千拌麵,,千拌麵
571,比菲多優意思,比菲多優意思,,比菲多優意思
405,韓國不倒翁,韓國不倒翁,,韓國不倒翁
245,喵洽普,喵洽普,,喵洽普
78,海倫仙度絲,海倫仙度絲,,海倫仙度絲
445,茶裏王,茶裏王,,茶裏王
794,禾聯,禾聯,,禾聯
54,泰安,泰安,,泰安
941,優先順,優先順,,優先順
232,聲寶,聲寶,,聲寶
249,寶僑,寶僑,,寶僑
9,龜甲萬,龜甲萬,,龜甲萬
517,五月花,五月花,,五月花
166,小獅王辛巴,小獅王辛巴,,小獅王辛巴
683,舒味思,舒味思,,舒味思
928,德拉美,德拉美,,德拉美
789,寶貝妮,寶貝妮,,寶貝妮
929,自然零,自然零,,自然零
930,水平衡,水平衡,,水平衡
404,樂邁,樂邁,,樂邁
684,一匙靈,一匙靈,,一匙靈
233,岡本,岡本,,岡本
597,日虹,日虹,,日虹
99,德恩奈,德恩奈,,德恩奈
790,拌天下,拌天下,,拌天下
685,輕鬆小品,輕鬆小品,,輕鬆小品
518,三詩達,三詩達,,三詩達
615,鷹記維他,鷹記維他,,鷹記維他
514,台熱牌,台熱牌,,台熱牌
84,統一陽光,統一陽光,,統一陽光
164,阿q桶麵,阿q桶麵,,阿q桶麵
613,山森,山森,,山森
455,清淨海,清淨海,,清淨海
456,虎牌,虎牌,,虎牌
599,樂天,樂天,,樂天
