,original_brand,brand_ch,brand_en,cleaned_brand
2253,晶鈺,晶鈺,,晶鈺
2355,靖,靖,,靖
2247,一品夫人,一品夫人,,一品夫人
2359,維大力,維大力,,維大力
2361,澤井,澤井,,澤井
2462,盛田,盛田,,盛田
2458,日虎,日虎,,日虎
2456,13章,13章,,13章
2452,優活力,優活力,,優活力
2451,夏士蓮,夏士蓮,,夏士蓮
2448,茱莉蔻,茱莉蔻,,茱莉蔻
2441,勁小子,勁小子,,勁小子
2432,小廚師,小廚師,,小廚師
2431,農會牌,農會牌,,農會牌
2429,怪獸部落,怪獸部落,,怪獸部落
2422,珂潤,珂潤,,珂潤
2418,潔芬,潔芬,,潔芬
2413,利捷維,利捷維,,利捷維
2412,利護樂,利護樂,,利護樂
2407,紅布朗,紅布朗,,紅布朗
2405,零零,,,零零
2403,詩柔,詩柔,,詩柔
2400,柑橘王子,柑橘王子,,柑橘王子
2393,杏輝醫藥,杏輝醫藥,,杏輝醫藥
2392,南王,南王,,南王
2391,咖啡廣場,咖啡廣場,,咖啡廣場
2384,安爽,安爽,,安爽
2382,山形,山形,,山形
2376,素天堂,素天堂,,素天堂
2375,賈羅公式,賈羅公式,,賈羅公式
2374,參天,參天,,參天
2365,鮮烘咖啡工作室,鮮烘咖啡工作室,,鮮烘咖啡工作室
2360,桃潤肌,桃潤肌,,桃潤肌
2246,台塑生醫,台塑生醫,,台塑生醫
2242,西螺大同,西螺大同,,西螺大同
2241,福華牌,福華牌,,福華牌
2135,康是美自有品牌,康是美自有品牌,,康是美自有品牌
2131,大醫生技,大醫生技,,大醫生技
2127,緹朗,緹朗,,緹朗
2121,齒磨撫子,齒磨撫子,,齒磨撫子
2117,海爾,海爾,,海爾
2115,佐藤,佐藤,,佐藤
2112,醫敏家,醫敏家,,醫敏家
2109,蜜妮,蜜妮,,蜜妮
2105,初鹿,初鹿,,初鹿
2101,悠康,悠康,,悠康
2100,彎彎寶貝,彎彎寶貝,,彎彎寶貝
2099,山元,山元,,山元
2094,寵物夥伴,寵物夥伴,,寵物夥伴
2087,超視王,超視王,,超視王
2086,德國百妮,德國百妮,,德國百妮
2085,自然主義,自然主義,,自然主義
2084,生活良好,生活良好,,生活良好
2083,貝貝實驗室,貝貝實驗室,,貝貝實驗室
2081,雅聞倍優,雅聞倍優,,雅聞倍優
2078,永信牌,永信牌,,永信牌
2076,藏咖啡,藏咖啡,,藏咖啡
2074,麗汝齒,麗汝齒,,麗汝齒
2069,歐客佬,歐客佬,,歐客佬
2062,龍馬,龍馬,,龍馬
2055,髮旺旺,髮旺旺,,髮旺旺
2051,小文輕,小文輕,,小文輕
2050,國騰,國騰,,國騰
2141,樂嫚妮,樂嫚妮,,樂嫚妮
2142,明洞國際,明洞國際,,明洞國際
2143,凱特鮮廚,凱特鮮廚,,凱特鮮廚
2144,齋藤咖啡店,齋藤咖啡店,,齋藤咖啡店
2239,戴維爵士,戴維爵士,,戴維爵士
2237,愛情貴族,愛情貴族,,愛情貴族
2235,伯朗咖啡,伯朗咖啡,,伯朗咖啡
2230,新奇,新奇,,新奇
2227,德律風根,德律風根,,德律風根
2225,溫士頓,溫士頓,,溫士頓
2220,紐約肯尼,紐約肯尼,,紐約肯尼
2219,天天,天天,,天天
2216,福汎,福汎,,福汎
2212,麗雅雪尼爾,麗雅雪尼爾,,麗雅雪尼爾
2205,荷蘭公主,荷蘭公主,,荷蘭公主
