,brand_ch,brand_en,cleaned_brand,sim,certain,U
63,小獅王辛巴,,小獅王辛巴,"[('小獅王', 75), ('獅王', 57)]",[],0
64,花香5,,花香5,[],[],0
65,越南厚生,,越南厚生,[],[],0
66,味味一品,,味味一品,"[('味味麵', 57), ('一品夫人', 50)]",[],0
67,森田藥粧,,森田藥粧,[],[],0
68,林鳳營特濃優格,,林鳳營特濃優格,"[('林鳳營精品優格', 71), ('林鳳營簡單點優格', 67), ('味全林鳳營', 50)]",[],0
69,人生製藥,,人生製藥,"[('得意人生', 50), ('甘味人生', 50)]",[],0
70,西雅圖,,西雅圖,[],[],0
71,倍潔雅,,倍潔雅,"[('唯潔雅', 67), ('加倍潔', 67)]",[],0
72,克奈圃,,克奈圃,[],[],0
73,台農鮮乳廠,,台農鮮乳廠,"[('台農', 57)]",[],0
74,大金,,大金,"[('金蘭', 50), ('丸金', 50), ('大正', 50), ('樂金', 50), ('屏大', 50), ('金龍', 50), ('金岡', 50), ('大研', 50), ('金饌', 50), ('金鹿', 50), ('大河', 50), ('大醬', 50), ('金車', 50), ('大王', 50), ('大芳', 50), ('金寶', 50), ('大昌', 50)]",[],0
75,小米,,小米,"[('米家', 50), ('紅米', 50), ('雲米', 50), ('米徠', 50), ('米物', 50), ('小澤', 50)]",[],0
76,優生,,優生,"[('嬌生', 50), ('新生', 50), ('優活', 50), ('生活', 50), ('優品', 50), ('優柏', 50), ('民生', 50), ('優護', 50)]",[],0
77,等等,,等等,[],[],0
78,萬達寬,,萬達寬,[],[],0
79,海尼根,,海尼根,"[('海吉尼斯', 57), ('潘海利根', 57)]",[],0
80,賈以食日,,賈以食日,[],[],0
81,愛力根,,愛力根,"[('愛力', 80), ('愛引力', 67), ('愛美力', 67)]","[('愛力', 80)]",1
82,湛盧,,湛盧,"[('湛盧咖啡', 67)]",[],0
83,滿漢大餐,,滿漢大餐,[],[],0
84,純煉,,純煉,[],[],0
85,春風,,春風,"[('瑞春', 50), ('風騰', 50), ('風格', 50), ('勳風', 50)]",[],0
86,黑人,,黑人,"[('黑人牙膏', 67), ('黑松', 50), ('白人', 50), ('黑龍', 50)]",[],0
87,聲寶,,聲寶,"[('寶亨', 50), ('寶僑', 50), ('寶馬', 50), ('寶路', 50), ('鍋寶', 50), ('古寶', 50), ('諾寶', 50), ('藍寶', 50), ('寶島', 50), ('培寶', 50), ('旺寶', 50), ('寶仕', 50), ('金寶', 50), ('奇寶', 50), ('威寶', 50)]",[],0
88,岡本,,岡本,"[('金岡', 50), ('片岡', 50)]",[],0
89,日落恩賜,,日落恩賜,"[('日喬恩', 57)]",[],0
90,農心,,農心,"[('台農', 50), ('農會', 50), ('國農', 50), ('綠農', 50), ('興農', 50)]",[],0
91,喵洽普,,喵洽普,[],[],0
92,義美,,義美,"[('義美生醫', 67), ('美琪', 50), ('美則', 50), ('美樂', 50), ('美寧', 50), ('麗美', 50), ('源美', 50), ('美琦', 50), ('美的', 50)]",[],0
93,寶僑,,寶僑,"[('南僑', 50), ('寶亨', 50), ('聲寶', 50), ('寶馬', 50), ('寶路', 50), ('鍋寶', 50), ('古寶', 50), ('諾寶', 50), ('藍寶', 50), ('寶島', 50), ('培寶', 50), ('旺寶', 50), ('寶仕', 50), ('金寶', 50), ('奇寶', 50), ('威寶', 50)]",[],0
94,我的心機,,我的心機,[],[],0
95,頂好,,頂好,"[('頂燒', 50)]",[],0
96,澎澎,,澎澎,[],[],0
97,龍鳳,,龍鳳,"[('黑龍', 50), ('金龍', 50), ('龍宏', 50), ('龍泉', 50), ('台鳳', 50), ('龍馬', 50), ('佳龍', 50)]",[],0
98,奈森克林,,奈森克林,"[('森林物語', 50)]",[],0
99,米家,,米家,"[('小米', 50), ('家福', 50), ('紅米', 50), ('娘家', 50), ('雲米', 50), ('米徠', 50), ('米物', 50), ('易家', 50)]",[],0
100,紅印,,紅印,"[('象印', 50), ('紅米', 50), ('京紅', 50), ('紅牛', 50)]",[],0
101,植享家,,植享家,[],[],0
102,英泉,,英泉,"[('東泉', 50), ('龍泉', 50)]",[],0
103,象印,,象印,"[('紅印', 50), ('日象', 50), ('白象', 50)]",[],0
104,康貝特,,康貝特,"[('康貝', 80)]","[('康貝', 80)]",1
105,日清,,日清,"[('日虹', 50), ('日象', 50), ('日虎', 50), ('日濢', 50), ('日青', 50), ('朝日', 50)]",[],0
106,瑞春,,瑞春,"[('春風', 50), ('海瑞', 50)]",[],0
107,醫之方,,醫之方,"[('台塑生醫 醫之方', 55)]",[],0
108,高慶泉,,高慶泉,"[('高地之泉', 57)]",[],0
109,檜山坊,,檜山坊,[],[],0
110,統一水果牛乳,,統一水果牛乳,"[('統一', 50)]",[],0
111,來一客,,來一客,[],[],0
112,味丹,,味丹,"[('味全萬丹', 67), ('味全', 50), ('味王', 50), ('新味', 50), ('厝味', 50), ('味榮', 50), ('鋒味', 50), ('和味', 50)]",[],0
113,美粒果,,美粒果,[],[],0
114,勁威,,勁威,"[('百威', 50), ('威德', 50), ('威仕', 50), ('威寶', 50)]",[],0
115,好自在,,好自在,[],[],0
116,正負零±0,,正負零±0,"[('正負零', 75), ('正負零±0', 67)]",[],0
117,賀壽,,賀壽,"[('長壽', 50)]",[],0
118,得意,,得意,"[('得意人生', 67), ('諾得', 50), ('善得', 50)]",[],0
119,蘋果西打,,蘋果西打,"[('緣蘋果', 57)]",[],0
120,貝親,,貝親,"[('貝恩', 50), ('孝親', 50), ('安親', 50), ('康貝', 50), ('佳貝', 50), ('貝克', 50)]",[],0
121,美琪,,美琪,"[('義美', 50), ('美則', 50), ('美樂', 50), ('美寧', 50), ('麗美', 50), ('源美', 50), ('美琦', 50), ('美的', 50)]",[],0
122,舒酸定,,舒酸定,[],[],0
123,益喜氏,,益喜氏,[],[],0
124,金絲頓,,金絲頓,[],[],0
125,味王麵,,味王麵,"[('味王', 80), ('味味麵', 67), ('日本味王', 57)]","[('味王', 80)]",1
126,寶馬,,寶馬,"[('寶亨', 50), ('聲寶', 50), ('寶僑', 50), ('寶路', 50), ('鍋寶', 50), ('古寶', 50), ('諾寶', 50), ('藍寶', 50), ('寶島', 50), ('培寶', 50), ('旺寶', 50), ('寶仕', 50), ('龍馬', 50), ('金寶', 50), ('巴馬', 50), ('奇寶', 50), ('威寶', 50), ('汗馬', 50)]",[],0
127,馬玉山,,馬玉山,[],[],0
128,獅王,,獅王,"[('小獅王', 80), ('日本獅王', 67), ('小獅王辛巴', 57), ('花王', 50), ('味王', 50), ('王牌', 50), ('菇王', 50), ('南王', 50), ('王朝', 50), ('大王', 50), ('雄獅', 50)]","[('小獅王', 80)]",1
129,天地合補,,天地合補,[],[],0
130,立得清,,立得清,"[('露得清', 67)]",[],0
131,汪喵星球,,汪喵星球,[],[],0
132,老媽拌麵,,老媽拌麵,"[('千拌麵', 57), ('曾拌麵', 57)]",[],0
133,舒跑,,舒跑,"[('舒潔', 50), ('朵舒', 50), ('舒澡', 50), ('舒珊', 50)]",[],0
134,恩能康見,,恩能康見,[],[],0
135,黑松,,黑松,"[('黑人', 50), ('黑龍', 50), ('福松', 50), ('松井', 50), ('松木', 50)]",[],0
136,莊頭北,,莊頭北,[],[],0
137,柔軟熊,,柔軟熊,[],[],0
138,純喫茶,,純喫茶,[],[],0
139,寶路,,寶路,"[('萬寶路', 80), ('寶亨', 50), ('聲寶', 50), ('寶僑', 50), ('寶馬', 50), ('鍋寶', 50), ('古寶', 50), ('諾寶', 50), ('藍寶', 50), ('寶島', 50), ('培寶', 50), ('旺寶', 50), ('寶仕', 50), ('金寶', 50), ('奇寶', 50), ('威寶', 50)]","[('萬寶路', 80)]",1
140,泰山,,泰山,"[('元山', 50), ('泰安', 50), ('雪山', 50), ('香山', 50), ('山森', 50), ('山水', 50), ('山崎', 50), ('山元', 50), ('山形', 50), ('豪山', 50), ('誠泰', 50), ('富山', 50), ('武山', 50), ('丸山', 50)]",[],0
141,大甲乾麵,,大甲乾麵,"[('大乾麵', 86), ('巷口乾麵', 50)]","[('大乾麵', 86)]",1
142,三多,,三多,"[('多芬', 50), ('三記', 50), ('喜多', 50), ('多哥', 50), ('三洋', 50), ('多納', 50), ('巧多', 50), ('三鷹', 50), ('三菱', 50)]",[],0
143,我的健康日記,,我的健康日記,[],[],0
144,尊爵,,尊爵,"[('爵戀', 50), ('伯爵', 50)]",[],0
145,達新牌,,達新牌,"[('永新牌', 67)]",[],0
146,優仕曼,,優仕曼,[],[],0
147,莉薇特麗,,莉薇特麗,"[('喜特麗', 57)]",[],0
148,哄寶貝,,哄寶貝,"[('熊寶貝', 67), ('寶貝妮', 67), ('好寶貝', 67), ('彎彎寶貝', 57), ('吉尼寶貝', 57), ('寶貝餌子', 57)]",[],0
149,博士美,,博士美,"[('白博士', 67), ('博士巧思', 57), ('艾克博士', 57), ('陸丁博士', 57), ('布朗博士', 57)]",[],0
150,妙管家,,妙管家,[],[],0
151,大拇指,,大拇指,[],[],0
152,西湖市場,,西湖市場,[],[],0
153,初鹿牧場,,初鹿牧場,"[('初鹿', 67), ('初鹿鮮乳', 50), ('台東初鹿', 50), ('柳營牧場', 50), ('飛牛牧場', 50), ('明全牧場', 50), ('禾香牧場', 50)]",[],0
154,蒸鮮之味,,蒸鮮之味,"[('愛之味', 57)]",[],0
155,艾瑪花園,,艾瑪花園,"[('花園', 67), ('艾瑪植萃', 50)]",[],0
156,大衛杜夫,,大衛杜夫,"[('大丈夫', 57)]",[],0
157,旺得福,,旺得福,[],[],0
158,直覺,,直覺,"[('知覺', 50)]",[],0
159,美島水肌,,美島水肌,"[('水涓肌', 57), ('膜力美肌', 50)]",[],0
160,樂邁,,樂邁,"[('刷樂', 50), ('福樂', 50), ('樂天', 50), ('邁士', 50), ('樂金', 50), ('泡樂', 50), ('樂活', 50), ('美樂', 50), ('樂趣', 50)]",[],0
161,韓國不倒翁,,韓國不倒翁,[],[],0
162,愛爾康,,愛爾康,"[('愛爾', 80), ('愛康', 80), ('愛爾曼', 67), ('倍爾康', 67), ('愛益康', 67), ('愛伊健康', 57)]","[('愛爾', 80), ('愛康', 80)]",1
163,家樂福,,家樂福,"[('家福', 80)]","[('家福', 80)]",1
164,金蘭,,金蘭,"[('大金', 50), ('丸金', 50), ('樂金', 50), ('金龍', 50), ('金岡', 50), ('金饌', 50), ('金鹿', 50), ('金車', 50), ('金寶', 50), ('蘭韻', 50)]",[],0
165,比菲多質立,,比菲多質立,"[('比菲多', 75), ('比菲多優意思', 55), ('比菲多乳之初', 55), ('多立康', 50)]",[],0
166,統一瑞穗,,統一瑞穗,"[('統一瑞穗極制', 80), ('統一', 67), ('統一陽光', 50), ('統一生機', 50)]","[('統一瑞穗極制', 80)]",1
167,家福,,家福,"[('家樂福', 80), ('米家', 50), ('福樂', 50), ('娘家', 50), ('福汎', 50), ('福松', 50), ('福記', 50), ('易家', 50)]","[('家樂福', 80)]",1
168,赫而司,,赫而司,[],[],0
169,新生,,新生,"[('嬌生', 50), ('優生', 50), ('生活', 50), ('新格', 50), ('新味', 50), ('新奇', 50), ('鼎新', 50), ('民生', 50)]",[],0
170,丸金,,丸金,"[('大金', 50), ('金蘭', 50), ('丸莊', 50), ('樂金', 50), ('金龍', 50), ('金岡', 50), ('金饌', 50), ('金鹿', 50), ('金車', 50), ('丸秀', 50), ('金寶', 50), ('丸進', 50), ('丸山', 50), ('丸友', 50)]",[],0
171,尚朋堂,,尚朋堂,[],[],0
172,資生堂,,資生堂,[],[],0
173,大正,,大正,"[('大金', 50), ('屏大', 50), ('正康', 50), ('大研', 50), ('正牛', 50), ('大河', 50), ('大醬', 50), ('大王', 50), ('大芳', 50), ('大昌', 50), ('正豐', 50)]",[],0
174,唯潔雅,,唯潔雅,"[('倍潔雅', 67), ('唯浴雅', 67)]",[],0
175,麗仕,,麗仕,"[('威仕', 50), ('名仕', 50), ('麗白', 50), ('寶仕', 50), ('麗美', 50), ('麗莎', 50), ('麗奇', 50), ('台麗', 50), ('派仕', 50)]",[],0
176,永信藥品,,永信藥品,"[('永信', 67), ('永信牌', 57)]",[],0
177,茶裏王,,茶裏王,[],[],0
178,福樂,,福樂,"[('福樂鮮攪', 67), ('福樂一番鮮', 57), ('福樂自然零', 57), ('刷樂', 50), ('樂邁', 50), ('家福', 50), ('樂天', 50), ('福樂頂級優酪', 50), ('樂金', 50), ('泡樂', 50), ('樂活', 50), ('美樂', 50), ('福樂低脂優酪', 50), ('福汎', 50), ('樂趣', 50), ('福松', 50), ('福記', 50)]",[],0
179,千拌麵,,千拌麵,"[('曾拌麵', 67), ('老媽拌麵', 57), ('小夫妻拌麵', 50)]",[],0
180,貝恩,,貝恩,"[('貝親', 50), ('培恩', 50), ('康貝', 50), ('佳貝', 50), ('貝克', 50)]",[],0
181,清淨海,,清淨海,"[('清淨園', 67)]",[],0
182,虎牌,,虎牌,"[('王牌', 50), ('臺虎', 50), ('虎屋', 50), ('滴牌', 50), ('日虎', 50), ('虎牙', 50)]",[],0
183,培恩,,培恩,"[('貝恩', 50), ('培寶', 50)]",[],0
184,雪山,,雪山,"[('元山', 50), ('雪坊', 50), ('泰山', 50), ('香山', 50), ('山森', 50), ('雷雪', 50), ('山水', 50), ('山崎', 50), ('雪比', 50), ('白雪', 50), ('山元', 50), ('山形', 50), ('豪山', 50), ('富山', 50), ('北海道大雪山', 50), ('武山', 50), ('丸山', 50)]",[],0
185,濱田,,濱田,"[('安田', 50), ('上田', 50), ('田記', 50), ('盛田', 50), ('御田', 50)]",[],0
186,史邁爾,,史邁爾,[],[],0
