,brand_en,sim,cleaned_brand,certain,check
20,e-books,"[('brooks', 77), ('brook’s', 71), ('bokbok', 62), ('bosley', 62), ('noodle & boo', 59), ('noodle&boo', 59), ('le labo', 57), ('on the body', 56), ('baekoksaeng', 56), ('bone', 55), ('biore', 50), ('bhk’s', 50), ('e.dot', 50), ('oster', 50), ('new beads', 50), ('the body shop', 50), (""bhk's"", 50), (""she's"", 50), ('kokie', 50)]",e-books,[],0
21,califia farms,"[('dairy farmers', 62), ('clair paris', 58), ('cama cafe', 55)]",califia farms,[],0
22,superfiber,"[('burberry', 56), ('ice river', 53), ('super pad', 53), ('lubriderm', 53), ('superfood lab', 52), ('refine', 50), ('persil', 50), ('super mild', 50), ('espoir', 50), ('super love', 50)]",superfiber,[],0
23,watsons,"[('swanson', 71), ('lavons', 62), ('arome by watsons', 61), ('thomson', 57), ('artisan', 57), ('sony', 55), ('tiss', 55), ('aito', 55), ('cass', 55), ('collagen by watsons', 54), ('naturals by watsons', 54), ('cath kidston', 53), ('star fashion', 53), ('natures organics', 52), ('sowa sowa', 50), ('rasto', 50), ('dyson', 50), ('sabon', 50), ('patto', 50)]",watsons,[],0
24,milani,"[('gemini', 67), ('lanami', 67), ('milklab', 62), ('leanani', 62), ('familia', 62), ('lilfant', 62), ('fila', 60), ('miau', 60), ('giovanni', 57), ('amida', 55), ('isana', 55), ('avila', 55), ('man-q', 55), ('flair', 55), ('masil', 55), ('ikari', 55), ('midea', 55), ('miine', 55), ('solan', 55)]",milani,[],0
25,cheers,"[('cheerios', 86), ('skechers', 71), ('maycheer', 71), ('cheersjelly', 71), ('cherry', 67), ('che gel', 62), ('thayers', 62), ('schesir', 62), ('chefrun', 62), ('heme', 60), ('fees', 60), ('copper chef', 59), ('yves rocher', 59), ('converse', 57), ('avengers', 57), ('lachesca', 57), ('crest', 55), ('three', 55), ('hiles', 55)]",cheers,[],0
26,botanist,"[('botanical esthe', 70), ('beanies', 67), ('twist', 62), ('bonika', 57), ('arnest', 57), ('bandai', 57), ('botanical 1st', 57), ('bonton', 57), ('bondi wash', 56), ('bioliss', 53), ('bronson', 53), ('sanbisi', 53), ('tai tai fon', 53), ('forcans', 53), ('vt cosmetics', 50), ('boneplus', 50), ('tiss', 50), ('a-star bones', 50), ('giovanni', 50)]",botanist,[],0
27,k-palette,"[('patto', 57), ('lotte', 57), ('skater', 53), ('skinpastel', 53), ('petest', 53), ('rosette', 50), ('kiwipet', 50), ('sparkles sp', 50), ('sparkle', 50), ('attento', 50)]",k-palette,[],0
28,go!,"[('agoy', 67), ('ringo', 57), ('sugao', 57), ('ginpo', 57), ('logos', 57), ('goshu', 57), ('g7', 50), ('gw', 50), ('jigott', 50), ('lg', 50), ('op', 50), ('kangol', 50), ('google', 50), ('golife', 50), ('glolux', 50), ('golden', 50)]",go!,[],0
29,adidas,"[('amida', 73), ('zavida', 67), ('add+', 67), ('diadora', 62), ('hida', 60), ('acmedica', 57), ('paddywax', 57), ('samdasoo', 57), ('nadeshia', 57), ('aveda', 55), ('avila', 55), ('taiga', 55), ('daodi', 55), ('midea', 55), ('ediya', 55), ('idea auto', 53), ('bondi wash', 50), ('mdovia', 50), ('frudia', 50)]",adidas,[],0
30,illy,"[('cily', 75), ('sillymann', 62), ('eilles', 60), ('shills', 60), ('firefly', 55), ('grizzly', 55), ('milklab', 55), ('wildalp', 55), ('fila', 50), ('city', 50), ('skinvill', 50), ('cc daily', 50), ('tigullio', 50), ('piacelli', 50)]",illy,[],0
31,bondi wash,"[('bonika', 62), ('botanist', 56), ('botanical esthe', 56), ('uni water', 53), ('peach and', 53), ('the body shop', 52), ('adidas', 50), ('bandai', 50), ('daisho', 50)]",bondi wash,[],0
32,dhc,"[('ahc', 67), ('htc', 67)]",dhc,[],0
33,s+miracle,"[('st.malo', 62), ('venus marble', 57), ('hiles', 57), ('amice', 57), ('realme', 53), ('eilles', 53), ('super mild', 53), ('lole’s', 53), ('urtale', 53), ('lafe’s', 53), ('osmile', 53), (""age20's"", 50), ('shower mate', 50), (""men's biore"", 50), ('qq girl', 50), ('ace', 50), ('yves rocher', 50)]",s+miracle,[],0
34,biore,"[('more', 67), ('biolead', 67), ('rire', 67), ('dior', 67), ('bioneed', 67), ('bone', 67), (""men's biore"", 62), ('labiotte', 62), ('burge', 60), ('ivory', 60), ('t core', 55), ('breeza', 55), ('yubico', 55), ('lirene', 55), ('bosley', 55), ('ciaoke', 55), ('bixtar', 55), ('ivenor', 55), ('emborg', 55)]",biore,[],0
35,chifure,"[('cure', 73), ('chu', 60), ('queen chef', 59), ('hi-life', 57), ('schesir', 57), ('chefrun', 57), ('chin su', 57), ('pure', 55), ('rire', 55), ('skincure', 53), ('biore', 50), ('crest', 50), ('three', 50), ('fresa', 50), ('hiles', 50), ('pure mind', 50), ('dr.choice', 50), ('burge', 50), ('hereu', 50)]",chifure,[],0
36,madam jan’s,"[(""mod's hair"", 57), ('mod’s hair', 57), ('amadana', 56), ('one amadana', 55), ('amino mason', 55), ('samdasoo', 53), ('amida', 50), ('sant’anna', 50), ('mandom beauty', 50)]",madam jan’s,[],0
37,artis di voce,"[('kitchen art', 58), ('ad-rocket', 55), ('arcticpet', 55), ('miller harris', 54), ('arctic', 53), ('narciso rodriguez', 53), ('natice', 53), ('artisan', 50)]",artis di voce,[],0
38,parrs,"[('nars', 67), ('plas', 67), ('polarstar', 57), ('targus', 55), ('persil', 55), ('arnest', 55), ('parfum', 55), ('plants', 55), ('barrio', 55), ('prreti', 55), ('pri', 50), ('pascual', 50), ('sparkles sp', 50), ('artisan', 50), ('sparkle', 50), ('pc park', 50), ('thayers', 50), ('clair paris', 50)]",parrs,[],0
39,new balance,"[('b balance', 70), ('natural balance', 69), ('jant blanc', 67), ('new anna', 63), ('new beads', 60), ('black ice', 60), ('black monster', 58), ('vanilla blanc', 58), ('balzano', 56), ('les nez', 56), ('one amadana', 55), ('nature face', 55), ('black blaze', 55), ('blendtec', 53), ('bluepine', 53), ('baan', 53), ('blackmonster', 52), ('botanical all-in-one', 52), ('banila co', 50)]",new balance,[],0
40,kitchenaid,"[('kitchen art', 67), ('kitcat', 62), ('ricenal', 59), ('kitekat', 59), ('thai', 57), ('paul mitchell', 52), ('switch', 50), ('cover nail', 50), ('healthlead', 50), ('pinpai', 50)]",kitchenaid,[],0
41,john masters organics,"[('natures organics', 76), ('avalon organics', 61)]",john masters organics,[],0
42,hair recipe,"[('arcticpet', 60), ('barrier repair', 56), ('arencia', 56), ('hi-life', 56), ('i-kirei', 56), ('nature tree', 55), ('clair paris', 55), ('ecowipes', 53), ('green finger', 52), ('ariel', 50), ('three', 50), ('dr pepper', 50), ('amice', 50), ('ice river', 50), ('miller harris', 50), ('ad-rocket', 50), ('hope girl', 50), ('dairy farmers', 50)]",hair recipe,[],0
43,rasto,"[('soto', 67), ('aito', 67), ('crest', 60), ('patto', 60), ('aesop', 60), ('lasko', 60), ('orasi', 60), ('rausch', 55), ('ducato', 55), ('tromso', 55), ('arnest', 55), ('franks', 55), ('suunto', 55), ('amstel', 55), ('daisho', 55), ('a star', 55), ('watsons', 50), ('yeaster', 50), ('calypso', 50)]",rasto,[],0
44,under armour,"[('dr.wonder', 57), ('aroy-d', 56), ('aroma zone', 55), ('ronever', 53), ('more', 50), ('de buyer', 50), ('mondariz', 50), ('purederm', 50), ('blackmonster', 50), ('wonder trend', 50), ('uni star', 50)]",under armour,[],0
45,bhk’s,"[('s&b', 75), ('brook’s', 67), ('benks', 60), ('bh', 57), (""hunt's"", 55), ('brooks', 55), ('e-books', 50), ('k-swiss', 50), ('k&k', 50), ('h&w', 50), ('chin su', 50)]",bhk’s,[],0
46,color club,"[('citycolor', 63), ('cocodor', 59), ('club', 57), ('lb tokyo', 56), ('unny club', 53), ('colourpop', 53), ('cuoco', 53), ('labo labo', 53), ('lily&color', 50), ('cnp laboratory', 50), ('yubico', 50), ('clover', 50), ('lapolo', 50), ('fine color', 50)]",color club,[],0
47,dejavu,"[('deve', 60), ('delta', 55), ('derma', 55), ('delux', 55), ('deary', 55), ('midea', 55), ('devon', 55), ('edeka', 55), ('beauty', 50), ('dermal', 50), ('lideal', 50), ('elujai', 50)]",dejavu,[],0
48,reebok,"[('greenon', 62), ('three', 55), ('iroka', 55), ('teteo', 55), ('edeka', 55), ('greenwood', 53), ('refine', 50), ('realme', 50), ('bokbok', 50), ('irobot', 50), ('breeza', 50), ('brooks', 50), ('bonika', 50), ('lirene', 50), ('elecom', 50), ('relove', 50), ('treewalker', 50), ('emborg', 50), ('greek gods', 50)]",reebok,[],0
49,dr.hows,"[('dr.hsieh', 67), ('dr.spa', 62), ('dr. skin', 57), ('etude house', 56), ('dr.satin', 53), ('cat chow', 53), ('dr.groot', 53), ('dr.shine', 53), ('dr.konopka’s', 53), ('rosy rosa', 50), ('dr.wonder', 50), ('dr.vt', 50), ('granola house', 50), ('hope girl', 50), ('downy', 50)]",dr.hows,[],0
50,abc,"[('bcl', 67), ('ahc', 67), ('aoc', 67), ('lac', 67), ('ace', 67), ('afc', 67), ('nac', 67), ('tabasco', 60), ('aibo', 57), ('ikbc', 57), ('saba', 57), ('face+', 57), ('nabi', 57), ('haba', 57), ('ayce', 57), ('abba', 57), ('m.a.c', 50), ('jacks', 50), ('a.h.c', 50)]",abc,[],0
51,realme,"[('relove', 67), ('urtale', 67), ('pureal', 67), ('revablend', 67), ('foramen', 62), ('treewalker', 62), ('revital', 62), ('ricenal', 62), ('heme', 60), ('tree walker', 59), ('tresemme', 57), ('morelife', 57), ('ariel', 55), ('three', 55), ('fresa', 55), ('arlem', 55), ('remax', 55), ('alyea', 55), ('amice', 55)]",realme,[],0
52,tcl,"[('tc', 80), ('bcl', 67), ('tgc', 67), ('htc', 67), ('tcc', 67), ('club', 57), ('cily', 57), ('tcrd', 57), ('excel', 50), ('citycolor', 50), ('fancl', 50), ('sacla', 50), ('tklab', 50)]",tcl,[],0
53,ariel,"[('ariul', 80), ('ardell', 73), ('argelan', 67), ('naturie', 67), ('rire', 67), ('ricenal', 67), ('aiken', 60), ('avila', 60), ('masil', 60), ('apieu', 60), ('arlem', 60), ('ikari', 60), ('amice', 60), ('najel', 60), ('heartfelt', 57), ('aprilskin', 57), ('arcticpet', 57), ('refine', 55), ('realme', 55)]",ariel,[],0
54,converse,"[('clover', 71), ('ecover', 71), ('ronever', 67), ('covermark', 59), ('cheers', 57), ('t core', 57), ('cooler master', 57), ('cover nail', 56), ('super love', 56), ('one', 55), ('honeysuckle', 53), ('r.o.c.s', 53), ('cheersjelly', 53), ('nursery', 53), ('r.o.c.s.', 53), ('tcoffee', 53), ('oneroad', 53), ('bioneed', 53), ('corsini', 53)]",converse,[],0
55,sillymann,"[('illy', 62), ('solan', 57), ('sigma', 57), ('milani', 53), ('shanen', 53), ('shills', 53), ('cosmic mansion', 52), ('ehrmann', 50), ('uniqman', 50), ('im unny', 50), ('madonna', 50), ('coleman', 50), ('milklab', 50), ('leanani', 50), ('swanson', 50), ('lilfant', 50), ('oshimon', 50)]",sillymann,[],0
