,brand_en,certain,check
302,haru,[],0
303,lp33,[],0
304,t.c.star,[],0
305,opi,[],0
306,miyoshi,"['miyoshi家族石鹼', 'miyoshi玉之肌']",0
307,fuji,[],0
308,xbox,[],0
309,derma&more,[],0
310,mistine,[],0
311,handme,[],0
312,fancl,[],0
313,kenwood,[],0
314,agf,[],0
315,maycheer,[],0
316,kiss,[],0
317,mylk,[],0
318,mei,[],0
319,clover,[],0
320,eilles,[],0
321,akvile,[],0
322,a-star bones,[],0
323,zettoc,[],0
324,medi flower,[],0
325,saraya,[],0
326,iroka,[],0
327,natural lady,[],0
328,combo,[],0
329,tiddi,[],0
330,ferrarelle,[],0
331,g&m,[],0
332,kitcat,[],0
333,friskies,[],0
334,flair,[],0
335,barrier repair,[],0
336,the orchid skin,[],0
337,joajota,[],0
338,ac makeup,[],0
339,3q,[],0
340,aesop,[],0
341,nuby,[],0
342,momus,[],0
343,bevy c.,[],0
344,teteo,[],0
345,andzen,[],0
346,aprilskin,[],0
347,the body shop,[],0
348,lotus,[],0
349,mandom,[],0
350,delux,[],0
351,pure,[],0
352,nicoh,[],0
353,userism,[],0
354,k&k,[],0
355,banila co,[],0
356,tarn ju,[],0
357,hb,[],0
358,shower mate,[],0
359,farcent,[],0
360,unidus,[],0
361,granarolo,[],0
362,dr pepper,[],0
363,bhk's,[],0
364,ecologic,[],0
365,st.malo,[],0
366,coffret d'or,[],0
367,briochin,[],0
368,yome,[],0
369,ziaja,[],0
370,quality 1st,[],0
371,persil,[],0
372,j.catbeauty,[],0
373,masil,[],0
374,baby brezza,[],0
375,deve,[],0
376,happy owl,[],0
377,pascual,[],0
378,epoux,[],0
379,che gel,[],0
380,puku,[],0
381,baby banana,[],0
382,luna,[],0
383,saholea,[],0
384,now!,[],0
385,naturals by watsons,[],0
386,tide,[],0
387,l’uxpresso,[],0
388,morocco gaga oil,[],0
389,beauty,[],0
390,naturie,[],0
391,kissme,[],0
392,apieu,"[""a'pieu""]",1
393,brita,[],0
394,maychic,[],0
395,sneaky,[],0
396,care linkage,[],0
397,bioliss,[],0
398,aoc,[],0
399,elishacoy,[],0
400,nokia,[],0
401,visee avant,[],0
402,filco,[],0
403,karalla,[],0
404,biolead,[],0
405,nature republic,[],0
406,torotoro,[],0
407,brooks,['brook’s'],1
408,kuyura,[],0
409,vanilla blanc,[],0
410,firefly,[],0
411,sakio,[],0
412,rosette,[],0
413,natureby,[],0
414,pure beauty,[],0
415,ringo,[],0
416,jvc,[],0
417,dermal,[],0
418,kimbo,[],0
419,hyd,[],0
420,hofbrauhaus wolters,[],0
421,dydo,[],0
422,abuns,[],0
423,corona,[],0
424,ck n-95,[],0
425,deary,[],0
426,hida,[],0
427,ayerllan,[],0
428,chacott,[],0
429,cat chow,[],0
430,sacla,[],0
431,omory,[],0
432,men's biore,[],0
433,kesho,[],0
434,jmscent,[],0
435,jonzac,[],0
436,kiwipet,[],0
437,juono,[],0
438,hola,[],0
439,simlife,[],0
440,royal unibrew,[],0
441,im unny,[],0
442,play station,[],0
443,sparkeau,[],0
444,beanies,[],0
445,thomson,[],0
446,from nature,[],0
447,3w clinic,[],0
448,glossyblossom,[],0
449,dr.groot,[],0
450,covermark,[],0
451,1st choice,[],0
452,mother-k,[],0
453,dew,[],0
454,rire,[],0
455,qv,[],0
456,natural d,[],0
457,acmedica,[],0
458,justherb,[],0
459,lobo,[],0
460,diadora,[],0
461,bmxmao,[],0
462,japan gals,[],0
463,nespresso,[],0
464,beautymaker,[],0
465,foodaholic,[],0
466,she,[],0
467,madonna,[],0
468,bonika,[],0
469,vitamix,[],0
470,solac,[],0
471,lapolo,[],0
472,prodiet,[],0
473,love beauty and planet,[],0
474,burberry,[],0
475,thebalm cosmetics,[],0
476,olaplex,[],0
477,kurun,[],0
478,nacnac,['nac nac'],1
479,orip,[],0
480,ducato,[],0
481,club,[],0
482,lunasol,[],0
483,nakay,[],0
484,mr.smart,[],0
485,npic,[],0
486,hori,[],0
487,kiss new york,[],0
488,infothink,[],0
489,maro,[],0
490,fees,[],0
491,24h cosme,[],0
492,joearo,[],0
493,purevivi,[],0
494,cama cafe,[],0
495,warm,[],0
496,cuoco,[],0
497,vinata,[],0
498,cocoegg,[],0
499,aipinyue,[],0
500,arlem,[],0
501,qidina,[],0
502,wedar,[],0
503,zoo,[],0
504,duskin,[],0
505,skater,[],0
506,maison louis marie,[],0
507,fine japan,[],0
508,s.w. basics,[],0
509,super mild,[],0
510,aroy-d,[],0
511,mbm,[],0
512,iris ohyama,"['iris ohyama愛麗思歐雅瑪', 'iris ohyama日本']",0
513,matador,[],0
514,mondariz,[],0
515,frosch,[],0
516,miau,[],0
517,aquagen,[],0
518,jordan,[],0
519,dr.choice,[],0
520,twist,[],0
521,labo labo,[],0
522,msh,[],0
523,vico,[],0
524,useemi,[],0
525,double power,[],0
526,tepe,[],0
527,huxley,[],0
528,mellsavon,[],0
529,you can buy,[],0
530,apg,[],0
531,lirene,[],0
532,sheba,[],0
533,le creuset,[],0
534,sempio,[],0
535,hukumi,[],0
536,elecom,[],0
537,zavida,[],0
538,xinchang,[],0
539,one amadana,[],0
540,lador,[],0
541,it's skin,[],0
542,twinbird,[],0
543,lavons,[],0
544,b +,[],0
545,b.friend,[],0
546,yotta,[],0
547,remax,[],0
548,timotei,[],0
549,ts6,[],0
550,lac,[],0
551,scalp x,[],0
552,i’m sorry for my skin,[],0
553,ikbc,[],0
554,nexx,[],0
555,tescoma,[],0
556,naffy,[],0
557,one thing,[],0
558,kit cat,[],0
559,jardin,[],0
560,petio,[],0
561,purederm,[],0
562,k9 natural,[],0
563,sant’anna,[],0
564,sugao,[],0
565,tromso,[],0
566,d-up,[],0
567,pony memebox,[],0
568,only good,[],0
569,giovanni,[],0
570,so good,[],0
571,saba,[],0
572,soft99,[],0
573,arlink,[],0
574,lestar,[],0
575,fafa,[],0
576,relove,[],0
577,naturals,[],0
578,shanen,[],0
579,my little pony,[],0
580,balzano,[],0
581,cheerios,[],0
582,butler,[],0
583,mama,[],0
584,y.n.m,[],0
585,kaibeauty,[],0
586,jayjun cosmetic,[],0
587,baekoksaeng,[],0
588,muva,[],0
589,fantech,[],0
590,nature garden,[],0
591,gemini,[],0
592,matsukiyo,[],0
593,jsmax,[],0
594,lideal,[],0
595,to be white,[],0
596,bomb cosmetics,[],0
597,kisetsu,[],0
598,lotte,[],0
599,bowwow,[],0
600,melko,[],0
601,she's,[],0
602,voluspa,[],0
603,melano cc,[],0
604,clayge,[],0
605,city,[],0
606,zoeva,[],0
607,sylph,[],0
608,pomi,[],0
609,skinvill,[],0
610,alobaby,[],0
611,ttmax,[],0
612,urban veda,[],0
613,sparkles sp,[],0
614,mod's hair,[],0
615,down power,[],0
616,fine color,[],0
617,himawari,[],0
618,rmk,[],0
619,qian rou,[],0
620,google,[],0
621,diptyque,[],0
622,nyx,[],0
623,liphip,[],0
624,rubber anne,[],0
625,lasko,[],0
626,burge,[],0
627,nature face,[],0
628,cheersjelly,[],0
629,v fau,[],0
630,kokie,[],0
631,h.city,[],0
632,toffy,[],0
633,iselect,[],0
634,grizzly,[],0
635,san benedetto,[],0
636,paddywax,[],0
637,mestemacher,[],0
638,natures organics,[],0
639,envin,[],0
640,myhouse,[],0
641,nail labo,[],0
642,t-sing,[],0
643,stb,[],0
644,leun plus,[],0
645,hereu,[],0
646,vitabox,[],0
647,aurora myza,[],0
648,coleman,[],0
649,life-do.plus,[],0
650,kozi,[],0
651,axa,[],0
652,arnest,[],0
653,beloved&co,[],0
654,diplona,[],0
655,celvoke,[],0
656,miss seesaw,[],0
657,antian,[],0
658,time leisure,[],0
659,apivita,[],0
660,chu,[],0
661,cosmos,[],0
662,avengers,[],0
663,bosley,[],0
664,treewalker,['tree walker'],1
665,olive,[],0
666,center-in,[],0
667,cover nail,[],0
668,cabreiroa,[],0
669,rivo,[],0
670,mihong,[],0
671,beautydisplay,[],0
672,tata,[],0
673,drip bag coffee,[],0
674,skinpastel,[],0
675,staub,[],0
676,shiseido men,[],0
677,milk touch,[],0
678,heimish,[],0
679,toplan,[],0
680,soapmax,[],0
681,revital,[],0
