,brand_ch,brand_en,cleaned_brand,sim_ch,repeat,sim_en,repeaten
1175,星品牌,befit,befit星品牌,[],0,[],0
1176, 居家,g+,g+ 居家,[],0,[],1
1177,立髮健,revivogen,revivogen立髮健,[],0,[],0
1178,百慕達,balmuda,balmuda百慕達,[],0,[],0
1179,創世紀,montech,montech創世紀,[],0,[],0
1180,自然鮮,natural fresh,natural fresh自然鮮,[],0,[],0
1181,優沛蕾,yoplait,yoplait優沛蕾,[],0,[],0
1182,艾克博士,dr. aik,dr. aik艾克博士,['艾克博士'],0,[],0
1183,美樂思,mediplus,mediplus美樂思,[],0,[],0
1184,御木本,mikimoto,mikimoto御木本,[],0,[],0
1185,快睿,cryorig,cryorig快睿,[],0,[],0
1186,萊卡,laica,laica萊卡,[],0,[],0
1187,小小,petit,petit小小,[],0,"[('petio', 80), ('petia', 80)]",0
1188,川越,wieden,wieden川越,[],0,[],0
1189,康善秀,consensus,consensus康善秀,[],0,[],0
1190,高島,takashima,takashima高島,[],0,[],0
1191,浩客,hawk,hawk浩客,[],0,[],0
1192,卡汶克萊,carvin kolai,carvin kolai卡汶克萊,['卡汶克萊'],0,[],0
1193,默墨咖啡,more cafe,more cafe默墨咖啡,[],0,[],0
1194,博多,marutai,marutai博多,[],0,[],0
1195,哈維博士,dr.harvey,dr.harvey哈維博士,[],0,[],0
1196,卡尼爾,garnier,garnier卡尼爾,[],0,[],0
1197,威寶,kaiser,kaiser威寶,['威寶'],0,[],0
1198,凱馳,karcher,karcher凱馳,[],0,[],0
1199,詩帆島,sven's island,sven's island詩帆島,[],0,[],0
1200,艾詩,enchanteur,enchanteur艾詩,['艾詩'],0,[],0
1201,日本,iris ohyama,iris ohyama日本,[],0,"[('iris ohyama', 100)]",1
1202,新普利,simply,simply新普利,['新普利'],0,[],0
1203,拉拉熊,rilakkuma,rilakkuma拉拉熊,[],0,[],0
1204,聖克萊爾,st.clare,st.clare聖克萊爾,[],1,[],0
1205,貝喜力,basilic,basilic貝喜力,[],0,[],0
1206,利百代,liberty,liberty利百代,['利百代'],0,[],0
1207,小瑞士花園,s’siwiss,s’siwiss小瑞士花園,[],0,"[('k-swiss', 80)]",0
1208,普騰,proton,proton普騰,[],0,[],0
1209,古希歐,cuccio,cuccio古希歐,[],0,[],0
1210,莉薇特麗,revital,revital莉薇特麗,['莉薇特麗'],0,"[('revital', 100)]",0
1211,特力屋,hola,hola特力屋,['特力屋'],0,"[('hola', 100)]",0
1212,樂格,log,log樂格,[],0,"[('lg', 80)]",0
1213,陪心寵糧,nu4pet,nu4pet陪心寵糧,[],0,[],0
1214,渴達,tundra,tundra渴達,[],0,[],0
1215,御皇居,royal,royal御皇居,['御皇居'],0,[],1
1216,百貓喜,best feline friend,best feline friend百貓喜,[],0,[],0
