,cleaned_brand,certain,sim
39,essence cosmetics艾森絲,[],"[('vt cosmetics', 62), ('thebalm cosmetics', 59), ('jayjun cosmetic', 57), ('first cosmetics works de第一化粧品', 53), ('bomb cosmetics', 53), ('cosmic mansion', 53), ('cosme decorte黛珂', 51), ('vt cosmetics x bt21', 51), ('inessence怡森氏', 50)]"
40,cezanne,[],"[('enne', 73), ('ehrmann', 57), ('beanies', 57), ('coleman', 57), ('leanani', 57), ('create dentfine', 55), ('ange', 55), ('ocean spring', 53), ('oceanique歐斯恩', 53), ('new anna', 53), ('pantene潘婷', 50), ('chanel香奈兒', 50), ('gennies奇妮', 50), ('cerave適樂膚', 50), ('new beads', 50), ('canidae卡比', 50), ('melano cc', 50), ('envin', 50), ('center-in', 50)]"
41,nailholic,[],"[('nailmatic', 67), ('foodaholic', 63), ('nacific', 62), ('panasonic', 56), ('palmolive', 56), ('dailix', 53), ('natice', 53), ('daisho', 53), ('healthlife', 53), ('snails', 53), ('basilic貝喜力', 53), ('ahc', 50), ('hoi', 50), ('saholea', 50), ('maychic', 50), ('bioliss', 50), ('aoc', 50), ('lunasol', 50), ('familia', 50)]"
42,eupa,"[('eupa優柏', 80)]","[('eupa優柏', 80), ('pupa', 75), ('elujai', 60), ('eva', 57), ('voluspa', 55), ('puma', 50), ('eau耀', 50), ('heum', 50), ('luna', 50), ('tepe', 50), ('d-up', 50), ('muva', 50), ('ogeu', 50), ('greenpan', 50), ('\u200ed-up\u200e', 50), ('plas', 50), ('pola', 50), ('eufy', 50), ('anua', 50)]"
43,nike耐吉,[],"[('aiken', 55), ('naturehike', 50), ('bonika', 50), ('ciaoke', 50), ('natice', 50)]"
44,olay歐蕾,[],"[('hola', 60), ('oway', 60), ('oasy', 60), ('pola', 60), ('oklao歐客佬', 57), ('solac', 55), ('solan', 55), ('wooly', 55), ('alya歐漾', 50), ('clayge', 50), ('bosley', 50), ('toplan', 50), ('oakley', 50), ('ladykin蕾蒂金', 50), ('yoplait優沛蕾', 50)]"
45,amma garden艾瑪花園,[],"[('ausgarden澳維花園', 64), ('gamarde珂瑪德', 56), ('amazin graze', 52)]"
46,萬家香,[],[]
47,高露潔,[],[]
48,熊寶貝,[],"[('哄寶貝', 67), ('寶貝妮', 67), ('熊寶寶', 67), ('好寶貝', 67), ('彎彎寶貝', 57), ('吉尼寶貝', 57), ('寶貝餌子', 57)]"
49,sowa sowa,[],"[('soapspa', 62), ('sasa', 62), ('swanson', 62), ('okawa', 57), ('bowwow', 53), ('down power', 53), ('sowa首華', 53), ('sang-a', 53), ('a star', 53), ('watsons', 50), ('joajota', 50), ('shower mate', 50), ('saholea', 50), ('so good', 50), ('soapmax', 50), ('a&w', 50), ('soopa舒巴', 50), ('a+ power', 50), ('s&w', 50)]"
50,lcb藍帶廚坊,[],[]
51,champion,[],"[('chian pin強品', 63), ('amino', 62), ('capitano', 62), ('mizon', 62), ('chanson強生', 59), ('chicco', 57), ('garmin', 57), ('sempio', 57), ('mihong', 57), ('hamilton beach漢美馳', 56), ('cap', 55), ('mon', 55), ('sampo聲寶', 53), ('alpecin', 53), ('therapind魔唇', 53), ('calypso', 53), ('hanskin', 53), ('chacott', 53), ('thomson', 53)]"
52,heme喜蜜,"[('heme', 80)]","[('heme', 80), ('heum', 60), ('three', 55), ('hereu', 55), ('homei', 55), ('homer', 55), ('cheers', 50), ('realme', 50), ('handme', 50), ('sohome', 50)]"
53,teco東元,[],"[('tescom', 67), ('tescoma', 62), ('ecos', 60), ('teteo', 55), ('tempo', 55), ('velcos', 50), ('東元', 50), ('elecom', 50), ('tc', 50), ('ecover', 50), ('percol', 50)]"
54,泰安,[],"[('泰山', 50), ('安安', 50), ('安田', 50), ('安雅', 50), ('安親', 50), ('安爽', 50), ('誠泰', 50)]"
55,澡享,[],"[('舒澡', 50)]"
