,cleaned_brand,certain,sim
1069,天使娜拉,[],[]
1070,ingeni新肌霓,[],"[('gemini', 53), ('greenies新健綠', 50), ('singen信元發育寶', 50)]"
1071,oster,"[('oster美國', 83)]","[('oster美國', 83), ('skater', 73), ('yeaster', 67), ('rosette', 67), ('post', 67), ('mother-k', 62), ('justherb', 62), ('satter莎特', 62), ('ecostore', 62), ('opera', 60), ('e.dot', 60), ('lotte', 60), ('homer', 60), ('blackmonster', 59), ('gerolsteiner', 59), ('osner韓國歐紳', 57), ('baster巴絲特', 57), ('polarstar', 57), ('black monster', 56)]"
1072,艾維特,[],"[('艾美特', 67), ('艾特優', 67)]"
1073,統一瑞穗極制,"[('統一瑞穗', 80)]","[('統一瑞穗', 80), ('統一', 50)]"
1074,kakato卡格,[],"[('kitekat', 53), ('alcatroz', 50), ('aito', 50), ('kanokwan', 50)]"
1075,茉莉茶園,[],"[('御茶園', 57)]"
1076,revive麗膚再生,[],"[('reise米膚', 59), ('purevivi', 56), ('revivogen立髮健', 55), ('refine', 50), ('greenvines綠藤生機', 50), ('relove', 50)]"
1077,koyo,[],"[('kopiko', 60), ('oxy', 57), ('zoo', 57), ('kinyo耐嘉', 55), ('kenwood', 55), ('ryo呂', 50), ('soto', 50), ('kate tokyo凱婷', 50), ('oppo', 50), ('pony', 50), ('sony', 50), ('yome', 50), ('dydo', 50), ('lobo', 50), ('kozi', 50), ('oway', 50), ('posy', 50), ('xoxo', 50), ('koji', 50)]"
1078,essentia逸萱秀,[],"[('vital essentials', 59), ('scentio', 56), ('essenso', 56), ('esense逸盛', 53), ('sentosa三多', 50), ('petia', 50), ('swissdent', 50)]"
1079,derma,"[('dermal', 91), ('dermisa', 83)]","[('dermal', 91), ('dermisa', 83), ('dermal德瑪', 77), ('dermacol', 77), ('derma丹麥德瑪', 71), ('deerma德爾瑪', 71), ('ehrmann', 67), ('derma&more', 67), ('a-derma艾芙美', 67), ('dear my', 67), ('rcma', 67), ('purederm', 62), ('opera', 60), ('delta', 60), ('deary', 60), ('remax', 60), ('midea', 60), ('temba', 60), ('aroma', 60)]"
1080,摩斯,[],"[('斯斯', 50), ('耐斯', 50)]"
1081,targus,[],"[('starbucks', 67), ('tau', 67), ('thayers', 62), ('nars', 60), ('haru', 60), ('uni star', 57), ('staresso', 57), ('starbucks星巴克', 56), ('parrs', 55), ('lotus', 55), ('abuns', 55), ('staub', 55), ('taiga', 55), ('ariul', 55), ('citrus希翠斯', 53), ('marusan丸三', 53), ('timaru堤瑪露', 53), ('asus華碩', 50), ('takumi', 50)]"
1082,kirkland signature科克蘭,[],"[('kirkland科克蘭', 69), ('natural lady', 55), ('nature garden', 53), ('natural balance', 50), ('from nature', 50), ('nature face', 50)]"
1083,微舒打,[],[]
1084,露得清,[],"[('立得清', 67)]"
1085,慢熟,[],[]
1086,存元堂,[],"[('元氣堂', 67), ('華陀扶元堂', 50)]"
1087,lishan日本,[],"[('isana', 62), ('elishacoy', 59), ('missha', 57), ('shanen', 57), ('iris ohyama日本', 57), ('zushiang日象', 56), ('misshan韓秀姬', 56), ('artisan', 53), ('lilfant', 53), ('min shiang名象', 50), ('nissin日清', 50), ('isana伊薩娜', 50), ('xinchang', 50), ('venalisa', 50)]"
1088,山水,[],"[('千山淨水', 67), ('元山', 50), ('泰山', 50), ('雪山', 50), ('香山', 50), ('山森', 50), ('山崎', 50), ('山元', 50), ('山形', 50), ('豪山', 50), ('富山', 50), ('武山', 50), ('丸山', 50)]"
1089,樂金,[],"[('lg樂金', 67), ('刷樂', 50), ('大金', 50), ('樂邁', 50), ('金蘭', 50), ('丸金', 50), ('福樂', 50), ('樂天', 50), ('金龍', 50), ('金岡', 50), ('泡樂', 50), ('樂活', 50), ('金饌', 50), ('美樂', 50), ('金鹿', 50), ('樂趣', 50), ('金車', 50), ('金寶', 50)]"
1090,oceanique歐斯恩,[],"[('ocanis歐卡尼', 57), ('clinique倩碧', 55), ('organix歐奇斯', 55), ('lothantique蘿丹緹', 54), ('cezanne', 53), ('beanies', 53), ('dasique', 53), ('ocean spring', 50), ('on歐恩', 50)]"
1091,wellbe威比,[],"[('wellage', 67), ('wellness', 62), ('eilles', 57), ('weleda', 57), ('maxwell麥斯威爾', 53), ('wellcome好吉康', 53), ('jumelle', 53), ('weider威德', 50), ('wellness寵物健康', 50), ('heller嘉儀', 50)]"
1092,屏大,"[('屏科大', 80)]","[('屏科大', 80), ('大金', 50), ('大正', 50), ('大研', 50), ('大河', 50), ('大醬', 50), ('大王', 50), ('大芳', 50), ('大昌', 50)]"
1093,御膳食堂,[],"[('食芋堂', 57), ('麻膳堂', 57), ('御膳坊', 57), ('阿舍食堂', 50), ('深夜食堂', 50)]"
1094,康是美,[],"[('康是美自有品牌', 60)]"
1095,小夫妻拌麵,[],"[('千拌麵', 50), ('曾拌麵', 50)]"
1096,berioska,[],"[('dermisa', 67), ('iroka', 62), ('brita', 62), ('cheerios', 62), ('cabreiroa', 59), ('brooks', 57), ('bonika', 57), ('beka貝卡', 57), ('barrio', 57), ('barista西雅圖', 56), ('userism', 53), ('bioliss', 53), ('biolead', 53), ('beanies', 53), ('baekoksaeng', 53), ('bioes囍瑞', 53), ('artisan', 53), ('einstok', 53), ('brook’s', 53)]"
1097,create dentfine,[],"[('create ion創離子', 64), ('center-in', 58), ('refine', 57), ('fine color', 56), ('cezanne', 55), ('catfeet', 55), ('scented candle', 55), ('creerbeaute', 54), ('natures care', 52), ('cath kidston', 52), ('care linkage', 52), ('tiki cat', 52), ('dent-inn', 52), ('real thai', 50)]"
1098,darling,[],"[('arlink', 77), ('farlin', 77), ('darlin妲己佳人', 71), ('ringo', 67), ('care linkage', 63), ('garmin', 62), ('dailix', 62), ('darphin朵法', 62), ('aprilskin', 62), ('jardin', 62), ('arin氧潤', 62), ('alpecin', 57), ('argelan', 57), ('arwin雅聞', 57), ('artisan', 57), ('dr. skin', 57), ('dr.link林克博士', 56), ('dan丹', 55), ('ange', 55)]"
1099,愛買,[],"[('愛喜', 50), ('愛力', 50), ('愛爾', 50), ('真愛', 50), ('臻愛', 50), ('愛康', 50), ('愛棒', 50), ('愛華', 50)]"
1100,perfect diary完美日記,[],"[('emo perfect', 57), ('perfect理想', 54)]"
1101,rinpoo潤波,[],"[('ringo', 62), ('ginpo', 62), ('arin氧潤', 57), ('rapoo雷柏', 53), ('rhino犀牛', 53), ('chinook', 53), ('orip', 50), ('rivo', 50), ('brain cosmos', 50), ('ioio', 50), ('indofood', 50)]"
1102,藍寶,[],"[('寶亨', 50), ('聲寶', 50), ('寶僑', 50), ('寶馬', 50), ('寶路', 50), ('鍋寶', 50), ('古寶', 50), ('諾寶', 50), ('寶島', 50), ('培寶', 50), ('旺寶', 50), ('寶仕', 50), ('金寶', 50), ('奇寶', 50), ('威寶', 50)]"
1103,健安喜,[],[]
1104,日本三洋,[],"[('三洋', 67), ('北日本', 57), ('日本石鹸', 50), ('日本獅王', 50), ('日本花王', 50), ('日本味王', 50), ('台灣三洋', 50)]"
1105,u-may優妹,[],"[('us baby優生', 62), ('miau', 55), ('may shop', 53), ('man-q', 50)]"
1106,the body shop美體小舖,"[('the body shop', 87)]","[('the body shop', 87), ('on the body', 71), ('the face shop菲詩小舖', 65), ('the orchid skin', 50)]"
1107,lescaut蕾斯卡歐,[],"[('lechat', 59), ('lachesca', 53)]"
1108,physiogel潔美淨,[],[]
1109,王牌,[],"[('獅王', 50), ('虎牌', 50), ('花王', 50), ('味王', 50), ('滴牌', 50), ('菇王', 50), ('南王', 50), ('王朝', 50), ('大王', 50)]"
1110,安雅,[],"[('泰安', 50), ('安安', 50), ('安田', 50), ('雅方', 50), ('安親', 50), ('雅保', 50), ('安爽', 50)]"
1111,monster energy魔爪,[],"[('black monster', 55), ('cooler master', 55), ('mount hagen', 52), ('mother-k', 50), ('blackmonster', 50), ('wonder trend', 50), ('gerolsteiner', 50)]"
1112,forest森鮮,[],"[('crest', 62), ('fresa', 62), ('t core', 57), ('arnest', 57), ('foramen', 53), ('farcent', 53), ('gourmet', 53), ('forcans', 53), ('formosa', 53), ('more', 50), ('tom ford', 50), ('friskies', 50), ('mores摩爾思', 50), ('fees', 50), ('ford', 50), ('post', 50), ('fresh馥蕾詩', 50), ('feso', 50)]"
1113,intex,[],"[('neatex', 73), ('glinter', 67), ('nexx', 67), ('wintek文鎧', 62), ('miine', 60), ('blistex碧唇', 57), ('isntree艾草', 57), ('refine', 55), ('winmax', 55), ('vinata', 55), ('lirene', 55), ('t-sing', 55), ('natice', 55), ('disney', 55), ('dibote', 55), ('skinpastel', 53), ('vintage凡諦斯', 53), ('minties猛特斯', 53), ('unt', 50)]"
1114,citycolor,[],"[('color club', 63), ('cocodor', 62), ('city', 62), ('colourpop', 56), ('chicco', 53), ('lily&color', 53), ('clover', 53), ('fine color', 53), ('h.city', 53), ('icooby', 53), ('mitomo', 53), ('cyclax', 53), ('tcl', 50), ('chinook', 50)]"
1115,植物的優,[],[]
1116,hanboly韓波俐,[],"[('kangol', 50), ('bosley', 50)]"
1117,parfum巴黎帕芬,[],"[('parfum', 75), ('parmir帕米爾', 53)]"
1118,tiss,[],"[('kiss', 75), ('ts', 67), ('twist', 67), ('missha', 60), ('kissme', 60), ('ts6', 57), ('iti', 57), ('watsons', 55), ('k-swiss', 55), ('mr&miss', 55), ('bioliss', 55), ('kisetsu', 55), ('artisan', 55), ('botanist', 50), ('is愛思', 50), ('iris', 50), ('friskies', 50), ('nissin日清', 50), ('tide', 50)]"
1119,屏東監獄,[],[]
1120,paddy台菱,[],"[('paddywax', 67), ('add+', 60)]"
1121,colourpop,[],"[('citycolor', 56), ('lily&color', 53), ('color club', 53), ('poppop', 53), ('clover', 53), ('corona', 53), ('fine color', 53), ('cookpower鍋寶', 50), ('calypso', 50), ('cocodor', 50), ('voluspa', 50), ('leopold', 50), ('flavour', 50)]"
1122,allando奧藍多,[],"[('palladio', 67), ('balzano', 59), ('ayerllan', 56), ('all clean多益得', 55), ('lador', 53), ('palladium', 53), ('balzano義大利', 50), ('mandom', 50), (""d'alba"", 50), ('allgood奧護佳', 50), ('healthlead', 50)]"
1123,natural balance,[],"[('natural lady', 74), ('new balance', 69), ('nature face', 69), ('natural d', 67), ('natural benefits純在', 67), ('k9 natural', 64), ('jant blanc', 64), ('naturals', 61), ('natures care', 59), ('natural food', 59), ('hydro balance水平衡', 58), ('natural farm自然牧場', 58), ('natural10++', 58), ('b balance', 58), ('natural fresh自然鮮', 58), ('black monster', 57), ('vanilla blanc', 57), ('nature garden', 57), ('eternal basic', 57)]"
1124,統一蜜豆奶,[],"[('統一', 57)]"
1125,iris,[],"[('kirin', 67), ('ikari', 67), ('pri', 57), ('iti', 57), ('userism', 55), ('bioliss', 55), ('heimish', 55), ('artisan', 55), ('dermisa', 55), ('i-kirei', 55), ('reise米膚', 55), ('iris ohyama', 53), ('clair paris', 53), ('nars', 50), ('orbis奧蜜思', 50), ('is愛思', 50), ('kiki', 50), ('berioska', 50), ('tiss', 50)]"
1126,guerisson,[],"[('guerlain嬌蘭', 63), ('userism', 62), ('merbliss', 59), ('orion', 57), ('algemarin', 56), ('nespresso', 56), ('garmin', 53), ('l’uxpresso', 53), ('gemini', 53), ('gateron佳達隆', 53), ('kissdiamond', 50), ('gemon啟蒙', 50), ('gourmia', 50), ('artisan', 50), ('dermisa', 50), ('einstok', 50), ('bronson', 50), ('greenon', 50), ('swanson', 50)]"
1127,phisoderm菲蘇德美,[],"[('loveisderma愛斯德瑪', 50)]"
1128,gigabyte技嘉,[],"[('gatsby', 50), ('logitech羅技', 50), ('dibote', 50)]"
1129,添寧,[],"[('寧記', 50), ('美寧', 50), ('克寧', 50)]"
1130,優級首選加州鮮乳,[],[]
1131,pri,[],"[('opi', 67), ('persil', 67), ('prreti', 67), ('prodiet', 60), ('pezri派翠', 60), ('iris', 57), ('pure', 57), ('rire', 57), ('orip', 57), ('npic', 57), ('hori', 57), ('pomi', 57), ('rivo', 57), ('persil寶瀅', 55), ('prosi普洛斯', 55), ('spring曙光', 55), ('purevivi', 55), ('kirin', 50), ('parrs', 50)]"
1132,everpure愛惠浦,[],"[('everred長紅', 60), ('everose愛芙蓉', 57), ('pure', 53), ('pure猋', 50), ('reveur芮芙茹', 50)]"
1133,op,"[('opi', 80)]","[('opi', 80), ('oppo', 67), ('orip', 67), ('opera', 57), ('aesop', 57), ('onpro', 57), ('go!', 50), ('poppop', 50), ('opal澳寶', 50), ('toplan', 50), ('pl', 50), ('kopiko', 50), ('morphe', 50)]"
1134,profusion,[],"[('bronson', 62), ('oshimon', 62), ('prosi普洛斯', 59), ('proton普騰', 59), ('orion', 57), ('flowfushi', 56), ('aprilskin', 56), ('one house', 56), ('evolution', 56), ('makeup revolution', 54), ('refine', 53), ('fuso福壽', 53), ('jmsolution', 53), ('persil', 53), ('duskin', 53), ('tromso', 53), ('fujiko', 53), ('parfum', 53), (""pro'skit寶工"", 53)]"
1135,avila,[],"[('akvile', 73), ('zavida', 73), ('fila', 67), ('vita', 67), ('apivita', 67), ('fala', 67), ('familia', 67), ('gavi', 67), ('viola麥維樂', 62), ('ariel', 60), ('amida', 60), ('aveda', 60), ('masil', 60), ('sacla', 60), ('taiga', 60), ('ariul', 60), ('alyea', 60), ('banila co', 57), ('nailmatic', 57)]"
1136,anf愛恩富,[],"[('愛恩富', 67), ('angfa', 55), ('baan貝恩', 50)]"
1137,肯尼士,[],"[('紐約肯尼', 57), ('kennex肯尼士', 50)]"
1138,cooler master,"[('coolermaster酷碼', 89)]","[('coolermaster酷碼', 89), ('covermark', 64), ('powermate', 64), ('yeaster', 60), ('coleman', 60), ('moodmatcher', 58), ('converse', 57), ('mother goose鵝媽媽', 57), ('oster', 56), ('monster energy魔爪', 55), ('polarstar', 55), ('ms.cosmed', 55), ('black monster', 54), ('yeastmaster匠香', 54), ('t core', 53), ('lestar', 53), ('eclear', 53), ('lole’s', 53), ('gold suite', 52)]"
1139,honey,[],"[('one', 75), ('pony', 67), ('sony', 67), ('bone', 67), ('hoya', 67), ('honk', 67), ('honeysuckle', 62), ('homei', 60), ('downy', 60), ('homer', 60), ('ahoye', 60), ('honey cat貓戀人', 59), ('hongyew鴻宇', 57), ('throne斯儂恩', 57), ('one house', 57), ('aronyx', 55), ('sony索尼', 55), ('cherry', 55), ('handme', 55)]"
1140,contin康定,[],"[('one thing', 59), ('center-in', 59), ('corningware康寧', 57), ('antian', 57), ('bonton', 57), ('combi康貝', 53), ('corsini', 53), ('scentio', 53), ('content pets康沛特', 52), ('carein康茵', 50), ('dent-inn', 50), ('consensus康善秀', 50)]"
1141,古寶無患子,[],"[('古寶', 57), ('古酵寶', 50)]"
1142,cougar美洲獅,[],[]
1143,mustela慕之恬廊,[],"[('mustela', 78), ('amstel', 59)]"
1144,lebelage,[],"[('wellage', 67), ('bladez', 57), ('clayge', 57), ('maquillage', 56), ('noble isle', 56), ('unlabel', 53), ('beanies', 53), ('blade錘子', 53), ('pet village', 53), ('black blaze', 53), ('le labo', 53), ('creerbeaute', 53), ('care linkage', 50), ('ange', 50), ('bella beauty', 50), ('ekel', 50)]"
1145,yubico,[],"[('vico', 60), ('biore', 55), ('nicoh', 55), ('filco', 55), ('cuoco', 55), ('yunos', 55), ('banila co', 53), ('rico baby', 53), ('chicco', 50), ('color club', 50), ('yebisu', 50), ('rico芮可', 50), ('ducato', 50), ('biocrown百匡', 50), ('fujiko', 50), ('icooby', 50), ('barrio', 50)]"
1146,naturehike,"[('naturie', 82)]","[('naturie', 82), ('natureke紐崔克', 76), ('nature tree', 67), ('natureby', 67), ('natice', 62), ('real nature瑞威', 61), ('natural pie多納滋', 58), ('from nature', 57), ('nature face', 57), ('turk', 57), ('mature美萃', 56), ('nature republic', 56), ('naturals', 56), ('natura siberica', 56), ('nadeshia', 56), ('naturaverde自然之綠', 56), ('natures care', 55), ('care linkage', 55), ('natures organics', 54)]"
1147,kangol,"[('kangol袋鼠', 86)]","[('kangol袋鼠', 86), ('kangaroos', 67), ('ange', 60), ('noyl', 60), ('agoy', 60), ('nanolabo', 57), ('kanokwan', 57), ('kao花王', 55), ('fancl', 55), ('ringo', 55), ('skoll', 55), ('angfa', 55), ('amino', 55), ('j.kao', 55), ('kidol', 55), ('kanebo佳麗寶', 53), ('granarolo', 53), ('go!', 50), ('hanboly韓波俐', 50)]"
1148,fzc,[],"[('ufc', 67), ('afc', 67), ('face+', 57), ('fancl', 50), ('filco', 50), ('freiz', 50)]"
1149,烤一百,[],[]
1150,man-q,[],"[('y.n.m', 60), ('q pnp', 60), ('milani', 55), ('maqpro', 55), ('romand', 55), ('mandom', 55), (""k'anho"", 55), ('ehrmann', 50), ('uniqman', 50), ('u-may優妹', 50), ('st.malo', 50), ('madonna', 50), ('one amadana', 50), ('coleman', 50), ('a&w', 50), ('amadana', 50), ('mon', 50)]"
1151,allegrini,[],"[('algemarin', 67), ('ballarini班樂尼', 67), ('s.pellegrino', 67), ('alpecin', 62), ('wild calling', 57), ('garmin', 53), ('flexin', 53), ('jardin', 53), ('arlink', 53), ('gemini', 53), ('arin氧潤', 53), ('farlin', 53), ('darling', 50), ('arwin雅聞', 50), ('arencia', 50), ('artisan', 50), ('leanani', 50), ('lemin立明', 50), ('corsini', 50)]"
1152,西北,[],"[('川西', 50), ('西華', 50), ('老北', 50)]"
1153,星巴克,[],[]
1154,sputnik史普尼克,[],[]
1155,年方十八,[],[]
1156,lenovo聯想,[],"[('lenso聯碩', 67), ('kenwood', 53), ('leopold', 53), ('lobo', 50)]"
1157,白博士,[],"[('博士美', 67), ('博士巧思', 57), ('艾克博士', 57), ('陸丁博士', 57), ('布朗博士', 57)]"
1158,vs沙宣,[],"[('沙宣', 67), ('evas', 50)]"
1159,無塵氏,[],[]
1160,華陀扶元堂,[],"[('華陀', 57), ('存元堂', 50), ('元氣堂', 50)]"
1161,愛維他,[],"[('維他麥', 67), ('維他露', 67), ('p維他露', 57), ('鷹記維他', 57), ('維他盒子', 57), ('lovita愛維他', 50)]"
1162,freeplus芙莉思,[],"[('greens葛莉思', 60), ('mediplus美樂思', 55), ('boneplus', 53), ('fees', 53), ('life-do.plus', 52), ('freshel膚蕊', 50), ('fresa', 50), ('leun plus', 50), ('reveur芮芙茹', 50)]"
1163,orihiro,[],"[('orion', 67), ('dr.forhair', 59), ('rhino犀牛', 57), ('corsini', 57), ('oshimon', 57), ('rire', 55), ('orip', 55), ('hori', 55), ('rivo', 55), ('ioio', 55), ('hito', 55), ('briochin', 53), ('torotoro', 53), ('frischli', 53), ('loshi', 50), ('oright歐萊德', 50), ('iroka', 50), ('ringo', 50), ('cabreiroa', 50)]"
1164,nicka.k,"[('nicka. k妮卡', 88)]","[('nicka. k妮卡', 88), ('kitcat', 62), ('bonika', 62), ('k&k', 60), ('akika漁極', 57), ('kitekat', 57), ('kiki', 55), ('npic', 55), (""i'nesvia"", 53), ('kanokwan', 53), ('unimat riken', 53), ('iroka', 50), ('nicoh', 50), ('nokia', 50), ('3w clinic', 50), ('nakay', 50), ('holika holika', 50), ('black ice', 50), ('botanical 1st', 50)]"
1165,frudia,[],"[('fila', 60), ('fuji', 60), ('ford', 60), ('rudy', 60), ('fujimaru', 57), ('fresa', 55), ('brita', 55), ('freiz', 55), ('ediya', 55), ('adidas', 50), ('farmina法米納', 50), ('mdovia', 50), ('qidina', 50), ('jordan', 50), ('jardin', 50), ('frusirnana美膚娜娜', 50), ('suisai', 50), ('fujiko', 50), ('franks', 50)]"
1166,dalli德國達麗,[],"[('dailix', 53), ('dale達樂', 53), ('dapolulumi', 53), ('darling', 50), ('caudalie歐緹麗', 50)]"
1167,pg美人網,[],"[('apg', 50), ('唐美人', 50)]"
1168,卡旺,[],"[('旺寶', 50), ('卡氛', 50), ('旺滴', 50)]"
1169,junkisei prime潤肌精,[],"[('userism', 50)]"
1170,mitsubishi三菱,[],"[('missha', 56), ('suisai', 56), ('tsuvimi', 53), ('miyoshi', 53), ('sanbisi', 53)]"
1171,brasilia巴西里亞,[],"[('basilic貝喜力', 55), ('familia', 53)]"
1172,益妍莓后,[],[]
1173,wildkin,[],"[('mildskin麥德絲肌', 63), ('aprilskin', 62), ('qidina', 62), ('duskin', 62), ('ladykin蕾蒂金', 59), ('wadakan', 57), ('dr. skin', 57), ('wildalp', 57), ('kiki', 55), ('zwilling德國雙人', 53), ('isdin怡思丁', 53), ('wieden川越', 53), ('kirin', 50), ('j-lin', 50), ('aiken', 50), ('sukin', 50), ('tiddi', 50), ('3w clinic', 50), (""it's skin"", 50)]"
1174,love code戀愛密碼,[],"[('clover', 53), ('relove', 53), ('celvoke', 50), ('bb love', 50)]"
1175,新生活純鮮乳品,[],[]
1176,k.c.dog,[],"[('r.o.c.s', 57), ('r.o.c.s.', 57), ('milk&co', 57), ('cock', 55), ('e.dot', 50), ('ok choice', 50)]"
1177,台塑生醫 醫之方,[],"[('台塑生醫', 67), ('醫之方', 55)]"
1178,joyoung九陽,[],[]
1179,peter饗食,[],"[('petest', 62), ('yeaster', 57), ('purederm', 53), ('k-palette', 50), ('opera', 50), ('oster', 50), ('teteo', 50), ('dr pepper', 50), ('petio', 50), ('center-in', 50), ('powermate', 50), ('petia', 50), ('q-pet', 50)]"
1180,lady flavor好味小姐,[],"[('flavour', 55), ('farm stay', 50), ('labo labo', 50)]"
1181,愛力,"[('愛力根', 80), ('愛引力', 80), ('愛美力', 80)]","[('愛力根', 80), ('愛引力', 80), ('愛美力', 80), ('愛喜', 50), ('波力', 50), ('愛買', 50), ('愛爾', 50), ('真愛', 50), ('臻愛', 50), ('活力', 50), ('愛康', 50), ('愛棒', 50), ('愛華', 50)]"
1182,dr's formula台塑生醫,"[('dr‘s formula‘', 86)]","[('dr‘s formula‘', 86), ('forte台塑生醫', 56), ('dr.forhair', 54), ('make up for ever', 50), ('dr.konopka’s', 50)]"
1183,獅子寶寶,[],"[('熊寶寶', 57), ('滿意寶寶', 50)]"
1184,日田天領水,[],[]
1185,lucky,[],"[('ducky創傑', 67), ('luwak', 60), ('loupedeck', 57), ('ucc', 50), ('nuk', 50), ('lac', 50), ('lec', 50), ('ufc', 50)]"
1186,優佳麗,[],[]
1187,綠的,[],"[('綠農', 50), ('綠地', 50), ('美的', 50)]"
1188,原木香,[],"[('田原香', 67)]"
1189,unicharm嬌聯,[],"[('uni water', 53), ('nicoh', 53), ('carome.', 50)]"
1190,fernleaf豐力富,[],"[('fresa', 50)]"
1191,海昌,[],"[('海滴', 50), ('海爾', 50), ('海瑞', 50), ('大昌', 50), ('海饌', 50), ('別海', 50), ('晨昌', 50)]"
1192,new beads,[],"[('beanies', 62), ('les nez', 62), ('new balance', 60), ('new anna', 59), ('bladez', 53), ('oven-baked', 53), ('s.w. basics', 53), ('fresh line', 53), ('disney', 53), ('les nez香鼻子', 53), ('ecosoya brands', 52), ('new directions', 52), ('cezanne', 50), ('e-books', 50), ('on the body', 50), ('yeaster', 50), ('elastine伊絲婷', 50), ('biolead', 50), ('pure beauty', 50)]"
1193,台東初鹿,[],"[('初鹿', 67), ('初鹿牧場', 50), ('初鹿鮮乳', 50)]"
1194,qtta東洋,[],"[('tata', 60), ('yotta', 55), ('ttmax', 55), ('tcstar', 50)]"
1195,opal澳寶,[],"[('opera', 55), ('op', 50), ('toplan', 50), ('oakley', 50), ('pl', 50), ('atopalm愛多康', 50), ('pureal', 50)]"
1196,j.gasco,[],"[('japan gals', 59), ('tabasco', 57), ('m.a.c', 50), ('rasto', 50), ('a.h.c', 50), ('aesop', 50), ('sugao', 50), ('lasko', 50)]"
1197,統一,[],"[('統一陽光', 67), ('ab統一', 67), ('統一瑞穗', 67), ('統一生機', 67), ('統一蜜豆奶', 57), ('統一水果牛乳', 50), ('lp33統一', 50), ('統一瑞穗極制', 50), ('富統', 50), ('統洋', 50), ('一引', 50), ('聯統', 50)]"
1198,mega harvest,[],"[('arnest', 56), ('miller harris', 56), ('le creuset', 55), ('herbal care', 52), ('heme', 50), ('natures organics', 50), ('tresemme', 50)]"
1199,絲花,[],"[('花王', 50), ('芙絲', 50), ('花園', 50)]"
1200,正康,[],"[('大正', 50), ('楓康', 50), ('維康', 50), ('康萃', 50), ('正牛', 50), ('康澤', 50), ('悠康', 50), ('康朵', 50), ('康貝', 50), ('愛康', 50), ('正豐', 50)]"
1201,ifit微卡,[],"[('swift', 55)]"
1202,黑船長,[],[]
1203,舒益優,[],"[('益豆之優', 57)]"
1204,韓味不二,[],"[('不二珍套', 50)]"
1205,國際,"[('國際牌', 80)]","[('國際牌', 80), ('明洞國際', 67), ('頂尖國際', 67), ('國農', 50), ('國騰', 50)]"
1206,埔里,[],[]
1207,楓康,[],"[('正康', 50), ('維康', 50), ('康萃', 50), ('康澤', 50), ('悠康', 50), ('康朵', 50), ('康貝', 50), ('愛康', 50), ('楓葉', 50)]"
1208,muji無印良品,[],"[('無印良品', 67), ('fuji', 50)]"
1209,the public organic,[],"[('oui organic唯有機', 62), ('botanical esthe', 61), ('the orchid skin', 55), ('nice&quick', 50)]"
1210,食芋堂,[],"[('阿舍食堂', 57), ('御膳食堂', 57), ('深夜食堂', 57)]"
1211,夏普,[],"[('脫普', 50), ('普登', 50), ('普潔', 50)]"
1212,haru,[],"[('hanru韓汝', 73), ('hereu', 67), ('ariul', 67), ('hikaru喜凱露', 62), ('targus', 60), ('parfum', 60), ('haylou', 60), ('chu', 57), ('aha', 57), ('tau', 57), ('ghr', 57), ('sharp夏普', 55), ('haier海爾', 55), ('thayers', 55), ('chefrun', 55), ('nars', 50), ('eau耀', 50), ('heum', 50), ('hau sanh', 50)]"
1213,toffy日本,"[('toffy', 83)]","[('toffy', 83), ('tcoffee', 57), ('rohto日本樂敦', 50), ('naffy', 50)]"
1214,雲谷,[],"[('雲米', 50), ('川雲', 50)]"
1215,orita歐芮坦,[],"[('brita', 62), ('oright歐萊德', 59), (""o'right歐萊德"", 56), ('歐芮坦', 55), ('revital', 53), ('gourmia', 53), ('rorista蘿莉絲塔', 53), ('corsica', 53), ('organia歐格妮亞', 53), ('vita', 50), ('orip', 50), ('hori', 50), ('ridata錸德', 50)]"
1216,lp33,"[('lp33統一', 80)]","[('lp33統一', 80), ('lcdp', 50)]"
1217,t.c.star,[],"[('tcstar', 71), ('csmart+', 71), ('a star', 71), ('tokyo star', 67), ('mr.smart', 62), ('uni star', 62), ('t core', 57), ('lestar', 57), ('target pro', 56), ('cesar西莎', 53), ('vt cica', 53), ('dr.jart+', 53), ('r.o.c.s', 53), ('tarn ju', 53), ('kit cat', 53), ('mk customer', 53), ('r.o.c.s.', 53), ('la casta蕾珂詩', 53), ('tai tai fon', 53)]"
1218,詩丹雅蘭,[],"[('詩沛格蘭', 50)]"
1219,庵古坑,[],"[('古坑鄉農會', 50)]"
1220,pon pon manman澎澎,[],"[('one amadana', 52), ('amino mason', 52), ('pony memebox', 50), ('mixim potion', 50)]"
1221,多哥,[],"[('三多', 50), ('多芬', 50), ('喜多', 50), ('多納', 50), ('奇哥', 50), ('巧多', 50)]"
1222,多立康,[],"[('比菲多質立', 50)]"
1223,opi,"[('op', 80)]","[('op', 80), ('hoi', 67), ('pri', 67), ('kopiko', 67), ('optimum', 60), ('oppo', 57), ('osim', 57), ('orip', 57), ('npic', 57), ('hori', 57), ('pomi', 57), ('kozi', 57), ('koji', 57), ('ioio', 57), ('orion', 50), ('loshi', 50), ('intopic廣鼎', 50), ('opera', 50), ('aesop', 50)]"
1224,greenvines綠藤生機,[],"[('greenies新健綠', 72), ('green綠的', 57), ('greenon', 57), ('greenpan', 55), ('envin', 53), ('greens葛莉思', 52), ('gennies奇妮', 52), ('genuine捷元', 52), ('refine', 50), ('revive麗膚再生', 50)]"
